mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 522,+1,    0, 5099,522.00608,    NaN,548.57092,    NaN,    NaN, 0.23274
 522,+1,   15, 5099,522.00912,    NaN,548.55816,    NaN,    NaN, 0.19003
 522,+1,   31, 5099,522.01216,    NaN,548.58949,    NaN,    NaN,-0.11528
 522,+1,   46, 5099,522.01520,    NaN,548.69390,    NaN,    NaN,-0.32441
 522,+1,   62, 5099,522.01824,    NaN,548.63305,    NaN,    NaN, 0.15636
 522,+1,   77, 5099,522.02128,    NaN,548.68130,    NaN,    NaN, 0.32382
 522,+1,   93, 5099,522.02432,    NaN,548.68779,    NaN,    NaN, 0.05705
 522,+1,  108, 5099,522.02736,    NaN,548.72792,    NaN,    NaN,-0.03439
 522,+1,  124, 5099,522.03040,    NaN,548.76633,    NaN,    NaN, 0.19338
 522,+1,  139, 5099,522.03344,    NaN,548.74897,    NaN,    NaN, 0.05261
 522,+1,  155, 5099,522.03647,    NaN,548.85746,    NaN,    NaN,-0.22615
 522,+1,  170, 5099,522.03951,    NaN,548.81515,    NaN,    NaN,-0.09786
 522,+1,  186, 5099,522.04255,    NaN,548.90344,    NaN,    NaN, 0.04618
 522,+1,  201, 5099,522.04559,    NaN,548.89322,    NaN,    NaN,-0.14175
 522,+1,  217, 5099,522.04863,    NaN,548.89288,    NaN,    NaN, 0.09001
 522,+1,  232, 5099,522.05167,    NaN,548.91886,    NaN,    NaN, 0.02818
 522,+1,  248, 5099,522.05471,    NaN,548.90820,    NaN,    NaN, 0.09920
 522,+1,  263, 5099,522.05775,    NaN,548.92431,    NaN,    NaN, 0.11393
 522,+1,  279, 5099,522.06079,    NaN,549.03542,    NaN,    NaN,-0.03601
 522,+1,  294, 5099,522.06383,    NaN,549.07277,    NaN,    NaN,-0.16189
 522,+1,  310, 5099,522.06687,    NaN,548.99344,    NaN,    NaN,-0.05222
 522,+1,  325, 5099,522.06991,    NaN,549.09046,    NaN,    NaN,-0.02779
 522,+1,  341, 5099,522.07295,    NaN,549.09324,    NaN,    NaN, 0.04610
 522,+1,  356, 5099,522.07599,    NaN,549.07013,    NaN,    NaN, 0.21913
 522,+1,  372, 5099,522.07903,    NaN,549.13896,    NaN,    NaN, 0.06529
 522,+1,  387, 5099,522.08207,    NaN,549.12720,    NaN,    NaN,-0.03151
 522,+1,  403, 5099,522.08511,    NaN,549.14150,    NaN,    NaN,-0.07413
 522,+1,  418, 5099,522.08815,    NaN,549.16056,    NaN,    NaN, 0.06667
 522,+1,  434, 5099,522.09119,    NaN,549.13389,    NaN,    NaN, 0.13550
 522,+1,  449, 5099,522.09423,    NaN,549.18165,    NaN,    NaN,-0.29922
 522,+1,  465, 5099,522.09727,    NaN,549.24694,    NaN,    NaN,-0.42672
 522,+1,  480, 5099,522.10030,    NaN,549.23768,    NaN,    NaN,-0.12122
 522,+1,  496, 5099,522.10334,    NaN,549.19414,    NaN,    NaN, 0.16740
 522,+1,  511, 5099,522.10638,    NaN,549.14217,    NaN,    NaN, 0.30116
 522,+1,  527, 5099,522.10942,    NaN,549.20448,    NaN,    NaN,-0.05474
 522,+1,  542, 5099,522.11246,    NaN,549.18135,    NaN,    NaN,-0.03726
 522,+1,  558, 5099,522.11550,    NaN,549.22924,    NaN,    NaN, 0.51314
 522,+1,  573, 5099,522.11854,    NaN,549.13568,    NaN,    NaN,-1.08180
 522,+1,  589, 5099,522.12157,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  604, 5099,522.12460,    NaN,547.35045,    NaN,    NaN, 7.98211
 522,+1,  620, 5099,522.12766,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  635, 5099,522.13069,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  650, 5099,522.13360,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  666, 5099,522.13663,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  681, 5099,522.13968,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  697, 5099,522.14272,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  712, 5099,522.14576,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  728, 5099,522.14880,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  743, 5099,522.15184,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  759, 5099,522.15488,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  774, 5099,522.15793,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  790, 5099,522.16097,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  805, 5099,522.16401,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  821, 5099,522.16705,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  836, 5099,522.17009,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  852, 5099,522.17313,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  867, 5099,522.17618,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  883, 5099,522.17922,    NaN,      NaN,    NaN,    NaN,     NaN
 522,+1,  898, 5099,522.18286,    NaN,551.06221,    NaN,    NaN, 3.22047
 522,+1,  914, 5099,522.18590,    NaN,550.85649,    NaN,    NaN, 3.03405
 522,+1,  929, 5099,522.18894,    NaN,550.65077,    NaN,    NaN, 2.84763
 522,+1,  945, 5099,522.19198,    NaN,550.44504,    NaN,    NaN, 2.66121
 522,+1,  960, 5099,522.19502,    NaN,550.23932,    NaN,    NaN, 2.47479
 522,+1,  976, 5099,522.19806,    NaN,550.03360,    NaN,    NaN, 2.28838
 522,+1,  991, 5099,522.20110,    NaN,549.82787,    NaN,    NaN, 2.10196
 522,+1, 1007, 5099,522.20414,    NaN,549.62215,    NaN,    NaN, 1.91554
 522,+1, 1022, 5099,522.20718,    NaN,549.41643,    NaN,    NaN, 1.72912
 522,+1, 1038, 5099,522.21021,    NaN,549.21070,    NaN,    NaN, 1.54270
 522,+1, 1053, 5099,522.21325,    NaN,549.00498,    NaN,    NaN, 1.35628
 522,+1, 1069, 5099,522.21629,    NaN,548.79926,    NaN,    NaN, 1.16986
 522,+1, 1084, 5099,522.21933,    NaN,548.59353,    NaN,    NaN, 0.98344
 522,+1, 1100, 5099,522.22237,    NaN,548.38781,    NaN,    NaN, 0.79702
 522,+1, 1115, 5099,522.22541,    NaN,548.18209,    NaN,    NaN, 0.61061
 522,+1, 1131, 5099,522.22845,    NaN,547.97636,    NaN,    NaN, 0.42419
 522,+1, 1146, 5099,522.23149,    NaN,547.77063,    NaN,    NaN, 0.19693
 522,+1, 1162, 5099,522.23453,    NaN,549.88569,    NaN,    NaN, 0.32323
 522,+1, 1177, 5099,522.23757,    NaN,549.83901,    NaN,    NaN, 0.81343
 522,+1, 1193, 5099,522.24061,    NaN,549.84359,    NaN,    NaN, 0.28384
 522,+1, 1208, 5099,522.24365,    NaN,549.87225,    NaN,    NaN,-0.08105
 522,+1, 1224, 5099,522.24669,    NaN,549.88825,    NaN,    NaN, 0.14195
 522,+1, 1239, 5099,522.24973,    NaN,549.86941,    NaN,    NaN,-0.03621
 522,+1, 1255, 5099,522.25277,    NaN,549.87577,    NaN,    NaN,-0.13895
 522,+1, 1270, 5099,522.25581,    NaN,549.88473,    NaN,    NaN, 0.19013
 522,+1, 1286, 5099,522.25885,    NaN,549.94170,    NaN,    NaN, 0.07743
 522,+1, 1301, 5099,522.26189,    NaN,549.94722,    NaN,    NaN,-0.25668
 522,+1, 1317, 5099,522.26493,    NaN,549.98182,    NaN,    NaN,-0.18388
 522,+1, 1332, 5099,522.26797,    NaN,549.99177,    NaN,    NaN, 0.17549
 522,+1, 1348, 5099,522.27101,    NaN,550.00050,    NaN,    NaN, 0.40349
 522,+1, 1363, 5099,522.27404,    NaN,550.06662,    NaN,    NaN, 0.16844
 522,+1, 1379, 5099,522.27708,    NaN,550.07915,    NaN,    NaN,-0.16193
 522,+1, 1394, 5099,522.28012,    NaN,550.04835,    NaN,    NaN,-0.11434
 522,+1, 1410, 5099,522.28316,    NaN,550.11136,    NaN,    NaN, 0.00761
 522,+1, 1425, 5099,522.28620,    NaN,550.07554,    NaN,    NaN, 0.08553
 522,+1, 1441, 5099,522.28924,    NaN,550.14403,    NaN,    NaN, 0.02205
 522,+1, 1456, 5099,522.29228,    NaN,550.11180,    NaN,    NaN, 0.12645
 522,+1, 1472, 5099,522.29532,    NaN,550.16122,    NaN,    NaN, 0.30114
 522,+1, 1487, 5099,522.29836,    NaN,550.17703,    NaN,    NaN, 0.12875
 522,+1, 1503, 5099,522.30140,    NaN,550.12500,    NaN,    NaN,-0.09251
 522,+1, 1518, 5099,522.30444,    NaN,550.14113,    NaN,    NaN,-0.02031
 522,+1, 1534, 5099,522.30748,    NaN,550.18491,    NaN,    NaN,-0.08739
 522,+1, 1549, 5099,522.31052,    NaN,550.15238,    NaN,    NaN, 0.13174
 522,+1, 1565, 5099,522.31356,    NaN,550.14914,    NaN,    NaN, 0.15743
 522,+1, 1580, 5099,522.31660,    NaN,550.18764,    NaN,    NaN,-0.20800
 522,+1, 1596, 5099,522.31964,    NaN,550.20483,    NaN,    NaN,-0.17738
 522,+1, 1611, 5099,522.32268,    NaN,550.20865,    NaN,    NaN, 0.16806
 522,+1, 1627, 5099,522.32572,    NaN,550.18290,    NaN,    NaN,-0.07974
 522,+1, 1642, 5099,522.32876,    NaN,550.20906,    NaN,    NaN, 0.13899
 522,+1, 1658, 5099,522.33180,    NaN,550.23490,    NaN,    NaN,-0.05334
