mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 512,+1,    0, 5350,512.00579,    NaN,564.66991,    NaN,    NaN,-0.49983
 512,+1,   15, 5350,512.00869,    NaN,564.65191,    NaN,    NaN,-0.22131
 512,+1,   31, 5350,512.01159,    NaN,564.66290,    NaN,    NaN,-0.20568
 512,+1,   46, 5350,512.01449,    NaN,564.67919,    NaN,    NaN, 0.16744
 512,+1,   62, 5350,512.01738,    NaN,564.67305,    NaN,    NaN, 0.07271
 512,+1,   77, 5350,512.02028,    NaN,564.69588,    NaN,    NaN, 0.11810
 512,+1,   93, 5350,512.02318,    NaN,564.69515,    NaN,    NaN,-0.13957
 512,+1,  108, 5350,512.02608,    NaN,564.74758,    NaN,    NaN,-0.28275
 512,+1,  124, 5350,512.02897,    NaN,564.77998,    NaN,    NaN, 0.22772
 512,+1,  139, 5350,512.03187,    NaN,564.79444,    NaN,    NaN,-0.00316
 512,+1,  155, 5350,512.03477,    NaN,564.82512,    NaN,    NaN,-0.05899
 512,+1,  170, 5350,512.03767,    NaN,564.83600,    NaN,    NaN,-0.05980
 512,+1,  186, 5350,512.04056,    NaN,564.86716,    NaN,    NaN,-0.00345
 512,+1,  201, 5350,512.04346,    NaN,564.89533,    NaN,    NaN,-0.03004
 512,+1,  217, 5350,512.04636,    NaN,564.88790,    NaN,    NaN,-0.20421
 512,+1,  232, 5350,512.04925,    NaN,564.92002,    NaN,    NaN,-0.21575
 512,+1,  248, 5350,512.05215,    NaN,564.94322,    NaN,    NaN,-0.02103
 512,+1,  263, 5350,512.05505,    NaN,564.95745,    NaN,    NaN, 0.32331
 512,+1,  279, 5350,512.05795,    NaN,564.93986,    NaN,    NaN, 0.11896
 512,+1,  294, 5350,512.06084,    NaN,564.96193,    NaN,    NaN, 0.08279
 512,+1,  310, 5350,512.06374,    NaN,564.97367,    NaN,    NaN, 0.08497
 512,+1,  325, 5350,512.06664,    NaN,564.95111,    NaN,    NaN,-0.14369
 512,+1,  341, 5350,512.06954,    NaN,564.97169,    NaN,    NaN,-0.24620
 512,+1,  356, 5350,512.07243,    NaN,564.98590,    NaN,    NaN, 0.06966
 512,+1,  372, 5350,512.07533,    NaN,564.99998,    NaN,    NaN, 0.21990
 512,+1,  387, 5350,512.07823,    NaN,564.98831,    NaN,    NaN, 0.20032
 512,+1,  403, 5350,512.08113,    NaN,564.99715,    NaN,    NaN,-0.16475
 512,+1,  418, 5350,512.08402,    NaN,564.98702,    NaN,    NaN,-0.15475
 512,+1,  434, 5350,512.08692,    NaN,565.00588,    NaN,    NaN, 0.32750
 512,+1,  449, 5350,512.08982,    NaN,565.02719,    NaN,    NaN, 0.13735
 512,+1,  465, 5350,512.09272,    NaN,565.02964,    NaN,    NaN,-0.66510
 512,+1,  480, 5350,512.09561,    NaN,565.05493,    NaN,    NaN, 0.06687
 512,+1,  496, 5350,512.09851,    NaN,565.04301,    NaN,    NaN, 0.55212
 512,+1,  511, 5350,512.10141,    NaN,565.12050,    NaN,    NaN,-0.29970
 512,+1,  527, 5350,512.10430,    NaN,565.17718,    NaN,    NaN,-0.08070
 512,+1,  542, 5350,512.10720,    NaN,565.21583,    NaN,    NaN, 0.30331
 512,+1,  558, 5350,512.11010,    NaN,565.22053,    NaN,    NaN,-0.50201
 512,+1,  573, 5350,512.11300,    NaN,565.27027,    NaN,    NaN,-0.23506
 512,+1,  589, 5350,512.11589,    NaN,565.30083,    NaN,    NaN, 0.18802
 512,+1,  604, 5350,512.11879,    NaN,565.29841,    NaN,    NaN, 0.10857
 512,+1,  620, 5350,512.12169,    NaN,565.39213,    NaN,    NaN, 0.17202
 512,+1,  635, 5350,512.12459,    NaN,565.41935,    NaN,    NaN, 0.21675
 512,+1,  651, 5350,512.12748,    NaN,565.45607,    NaN,    NaN, 0.15496
 512,+1,  666, 5350,512.13038,    NaN,565.49059,    NaN,    NaN,-0.03966
 512,+1,  682, 5350,512.13328,    NaN,565.54242,    NaN,    NaN,-0.32308
 512,+1,  697, 5350,512.13618,    NaN,565.53719,    NaN,    NaN, 0.10129
 512,+1,  713, 5350,512.13907,    NaN,565.56304,    NaN,    NaN, 0.14015
 512,+1,  728, 5350,512.14197,    NaN,565.55999,    NaN,    NaN,-0.33205
 512,+1,  744, 5350,512.14487,    NaN,565.55026,    NaN,    NaN, 0.10887
 512,+1,  759, 5350,512.14776,    NaN,565.53186,    NaN,    NaN, 0.31187
 512,+1,  775, 5350,512.15066,    NaN,565.56057,    NaN,    NaN,-0.20415
 512,+1,  790, 5350,512.15356,    NaN,565.56181,    NaN,    NaN,-0.07851
 512,+1,  806, 5350,512.15646,    NaN,565.56434,    NaN,    NaN, 0.08503
 512,+1,  821, 5350,512.15935,    NaN,565.57248,    NaN,    NaN,-0.25508
 512,+1,  837, 5350,512.16225,    NaN,565.55420,    NaN,    NaN,-0.16312
 512,+1,  852, 5350,512.16515,    NaN,565.52090,    NaN,    NaN, 0.35650
 512,+1,  868, 5350,512.16805,    NaN,565.58057,    NaN,    NaN, 0.22850
 512,+1,  883, 5350,512.17094,    NaN,565.59015,    NaN,    NaN,-0.54962
 512,+1,  899, 5350,512.17384,    NaN,565.60335,    NaN,    NaN,-0.26017
 512,+1,  914, 5350,512.17674,    NaN,565.63280,    NaN,    NaN, 0.33100
 512,+1,  930, 5350,512.17964,    NaN,565.63484,    NaN,    NaN, 0.22730
 512,+1,  945, 5350,512.18253,    NaN,565.60040,    NaN,    NaN,-0.19486
 512,+1,  961, 5350,512.18543,    NaN,565.64795,    NaN,    NaN,-0.33030
 512,+1,  976, 5350,512.18833,    NaN,565.66273,    NaN,    NaN, 0.37150
 512,+1,  992, 5350,512.19122,    NaN,565.65577,    NaN,    NaN, 0.61056
 512,+1, 1007, 5350,512.19412,    NaN,565.66438,    NaN,    NaN, 0.01887
 512,+1, 1023, 5350,512.19702,    NaN,565.68264,    NaN,    NaN,-0.48577
 512,+1, 1038, 5350,512.19992,    NaN,565.66088,    NaN,    NaN,-0.25736
 512,+1, 1054, 5350,512.20281,    NaN,565.65855,    NaN,    NaN, 0.05291
 512,+1, 1069, 5350,512.20571,    NaN,565.65500,    NaN,    NaN, 0.11049
 512,+1, 1085, 5350,512.20861,    NaN,565.65940,    NaN,    NaN,-0.29033
 512,+1, 1100, 5350,512.21151,    NaN,565.74593,    NaN,    NaN,-0.20655
 512,+1, 1116, 5350,512.21440,    NaN,565.77472,    NaN,    NaN, 0.34652
 512,+1, 1131, 5350,512.21730,    NaN,565.84641,    NaN,    NaN, 0.15009
 512,+1, 1147, 5350,512.22020,    NaN,565.84806,    NaN,    NaN, 0.06172
 512,+1, 1162, 5350,512.22310,    NaN,565.86560,    NaN,    NaN, 0.15502
 512,+1, 1178, 5350,512.22599,    NaN,565.86760,    NaN,    NaN,-0.18248
 512,+1, 1193, 5350,512.22889,    NaN,565.89389,    NaN,    NaN,-0.05938
 512,+1, 1209, 5350,512.23179,    NaN,565.90685,    NaN,    NaN, 0.21407
 512,+1, 1224, 5350,512.23468,    NaN,565.91815,    NaN,    NaN,-0.04844
 512,+1, 1240, 5350,512.23758,    NaN,565.90283,    NaN,    NaN,-0.27795
 512,+1, 1255, 5350,512.24048,    NaN,565.88280,    NaN,    NaN,-0.05234
 512,+1, 1271, 5350,512.24338,    NaN,565.90863,    NaN,    NaN, 0.12351
 512,+1, 1286, 5350,512.24627,    NaN,565.89690,    NaN,    NaN,-0.14067
 512,+1, 1302, 5350,512.24917,    NaN,565.88939,    NaN,    NaN, 0.07384
