mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 521,+1,    0, 5354,521.00579,    NaN,547.84446,    NaN,    NaN,-0.27238
 521,+1,   15, 5354,521.00869,    NaN,547.75652,    NaN,    NaN,-0.05779
 521,+1,   31, 5354,521.01158,    NaN,547.82942,    NaN,    NaN,-0.06679
 521,+1,   46, 5354,521.01448,    NaN,547.84870,    NaN,    NaN,-0.06378
 521,+1,   62, 5354,521.01737,    NaN,547.81301,    NaN,    NaN, 0.07153
 521,+1,   77, 5354,521.02027,    NaN,547.75408,    NaN,    NaN, 0.09338
 521,+1,   93, 5354,521.02316,    NaN,547.73330,    NaN,    NaN, 0.23059
 521,+1,  108, 5354,521.02606,    NaN,547.77205,    NaN,    NaN, 0.04896
 521,+1,  124, 5354,521.02895,    NaN,547.77900,    NaN,    NaN, 0.00707
 521,+1,  139, 5354,521.03185,    NaN,547.75677,    NaN,    NaN,-0.15414
 521,+1,  155, 5354,521.03474,    NaN,547.61880,    NaN,    NaN,-0.18527
 521,+1,  170, 5354,521.03764,    NaN,547.65867,    NaN,    NaN, 0.38785
 521,+1,  186, 5354,521.04053,    NaN,547.75176,    NaN,    NaN, 0.59506
 521,+1,  201, 5354,521.04343,    NaN,547.57953,    NaN,    NaN,-0.16124
 521,+1,  217, 5354,521.04632,    NaN,547.72640,    NaN,    NaN,-0.25411
 521,+1,  232, 5354,521.04922,    NaN,547.69229,    NaN,    NaN,-0.15365
 521,+1,  248, 5354,521.05211,    NaN,547.60695,    NaN,    NaN,-0.60959
 521,+1,  263, 5354,521.05501,    NaN,547.56130,    NaN,    NaN,-0.30445
 521,+1,  279, 5354,521.05790,    NaN,547.54857,    NaN,    NaN, 0.72964
 521,+1,  294, 5354,521.06080,    NaN,547.52242,    NaN,    NaN, 0.02875
 521,+1,  310, 5354,521.06369,    NaN,547.53232,    NaN,    NaN,-0.61024
 521,+1,  325, 5354,521.06659,    NaN,547.51094,    NaN,    NaN,-0.01524
 521,+1,  341, 5354,521.06948,    NaN,547.54247,    NaN,    NaN, 0.40183
 521,+1,  356, 5354,521.07238,    NaN,547.55003,    NaN,    NaN, 0.00388
 521,+1,  372, 5354,521.07528,    NaN,547.54793,    NaN,    NaN,-0.23196
 521,+1,  387, 5354,521.07817,    NaN,547.54920,    NaN,    NaN, 0.06959
 521,+1,  403, 5354,521.08107,    NaN,547.54017,    NaN,    NaN, 0.31387
 521,+1,  418, 5354,521.08396,    NaN,547.49911,    NaN,    NaN, 0.23584
 521,+1,  434, 5354,521.08686,    NaN,547.50683,    NaN,    NaN,-0.22705
 521,+1,  449, 5354,521.08975,    NaN,547.44840,    NaN,    NaN,-0.26418
 521,+1,  465, 5354,521.09265,    NaN,547.46048,    NaN,    NaN, 0.25279
 521,+1,  480, 5354,521.09554,    NaN,547.39362,    NaN,    NaN, 0.16839
 521,+1,  496, 5354,521.09844,    NaN,547.38794,    NaN,    NaN,-0.33445
 521,+1,  511, 5354,521.10133,    NaN,547.34033,    NaN,    NaN,-0.12555
 521,+1,  527, 5354,521.10423,    NaN,547.35291,    NaN,    NaN, 0.28113
 521,+1,  542, 5354,521.10712,    NaN,547.31655,    NaN,    NaN, 0.08490
 521,+1,  558, 5354,521.11002,    NaN,547.29969,    NaN,    NaN,-0.14776
 521,+1,  573, 5354,521.11291,    NaN,547.24422,    NaN,    NaN,-0.04283
 521,+1,  589, 5354,521.11581,    NaN,547.25038,    NaN,    NaN, 0.09018
 521,+1,  604, 5354,521.11870,    NaN,547.21630,    NaN,    NaN, 0.04389
 521,+1,  620, 5354,521.12160,    NaN,547.19262,    NaN,    NaN,-0.03178
 521,+1,  635, 5354,521.12449,    NaN,547.14698,    NaN,    NaN,-0.02856
 521,+1,  651, 5354,521.12739,    NaN,547.14214,    NaN,    NaN, 0.43097
 521,+1,  666, 5354,521.13028,    NaN,547.11815,    NaN,    NaN, 0.36618
 521,+1,  682, 5354,521.13318,    NaN,547.08814,    NaN,    NaN, 0.53907
 521,+1,  697, 5354,521.13607,    NaN,547.07334,    NaN,    NaN, 0.82106
 521,+1,  713, 5354,521.13897,    NaN,547.06959,    NaN,    NaN, 0.64653
 521,+1,  728, 5354,521.14186,    NaN,547.06372,    NaN,    NaN, 0.61130
 521,+1,  744, 5354,521.14476,    NaN,547.03287,    NaN,    NaN, 0.88600
 521,+1,  759, 5354,521.14766,    NaN,547.00200,    NaN,    NaN, 1.21298
 521,+1,  775, 5354,521.15055,    NaN,546.99691,    NaN,    NaN, 0.98182
 521,+1,  790, 5354,521.15345,    NaN,546.94216,    NaN,    NaN, 0.74048
 521,+1,  806, 5354,521.15634,    NaN,546.93059,    NaN,    NaN, 0.72517
 521,+1,  821, 5354,521.15924,    NaN,546.91412,    NaN,    NaN, 0.93211
 521,+1,  837, 5354,521.16213,    NaN,546.91803,    NaN,    NaN, 1.43771
 521,+1,  852, 5354,521.16503,    NaN,546.93626,    NaN,    NaN, 1.41206
 521,+1,  868, 5354,521.16792,    NaN,547.00786,    NaN,    NaN, 0.80355
 521,+1,  883, 5354,521.17082,    NaN,547.01116,    NaN,    NaN, 0.65890
 521,+1,  899, 5354,521.17371,    NaN,546.96658,    NaN,    NaN, 1.00833
 521,+1,  914, 5354,521.17661,    NaN,547.07317,    NaN,    NaN, 1.07913
 521,+1,  930, 5354,521.17950,    NaN,547.01247,    NaN,    NaN, 1.23213
 521,+1,  945, 5354,521.18240,    NaN,547.02392,    NaN,    NaN, 1.09382
 521,+1,  961, 5354,521.18529,    NaN,547.01857,    NaN,    NaN, 0.96394
 521,+1,  976, 5354,521.18819,    NaN,547.04030,    NaN,    NaN, 0.92622
 521,+1,  992, 5354,521.19108,    NaN,547.03089,    NaN,    NaN, 0.74664
 521,+1, 1007, 5354,521.19398,    NaN,546.94917,    NaN,    NaN, 1.34553
 521,+1, 1023, 5354,521.19687,    NaN,547.02390,    NaN,    NaN, 1.11797
 521,+1, 1038, 5354,521.19977,    NaN,546.99100,    NaN,    NaN, 0.53676
 521,+1, 1054, 5354,521.20266,    NaN,547.02009,    NaN,    NaN, 1.04106
 521,+1, 1069, 5354,521.20556,    NaN,546.96847,    NaN,    NaN, 1.29275
 521,+1, 1085, 5354,521.20845,    NaN,546.97692,    NaN,    NaN, 0.77284
 521,+1, 1100, 5354,521.21135,    NaN,546.91970,    NaN,    NaN, 0.79571
