Htn2PksFeb09,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PksFeb09,
UTM,17 North,NAD 1983 (Conus),Geoid03CONUS
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
135_A,LRdot,+38.429667317,-82.374860149,441.519,13957925.686,1246703.496,550.339,7.461,09:59:54 18 Feb 2009,,,,0.054,0.089,0.001,,,,1,5
136_A,LRdot,+38.429776598,-82.374560605,441.494,13957964.192,1246789.873,550.315,7.461,09:59:58 18 Feb 2009,,,,0.038,0.062,0.004,,,,1,5
137_A,LRdot,+38.429804925,-82.374482989,441.469,13957974.173,1246812.254,550.290,7.461,09:59:59 18 Feb 2009,,,,0.018,0.029,0.003,,,,1,5
138_A,LRdot,+38.429832900,-82.374405887,441.588,13957984.029,1246834.486,550.409,7.461,10:00:00 18 Feb 2009,,,,0.042,0.066,0.001,,,,1,6
139_A,LRdot,+38.429863695,-82.374321032,441.583,13957994.878,1246858.954,550.404,7.461,10:00:01 18 Feb 2009,,,,0.025,0.038,0.003,,,,1,6
140_A,LRdot,+38.429916966,-82.374174548,441.726,13958013.646,1246901.193,550.548,7.461,10:00:03 18 Feb 2009,,,,0.036,0.056,0.002,,,,1,6
141_A,LRdot,+38.429945169,-82.374097238,441.837,13958023.584,1246923.486,550.660,7.461,10:00:04 18 Feb 2009,,,,0.036,0.056,0.002,,,,1,6
142_A,LRdot,+38.429973435,-82.374019942,441.899,13958033.545,1246945.775,550.721,7.461,10:00:05 18 Feb 2009,,,,0.018,0.028,0.002,,,,1,6
143_A,LRdot,+38.430001695,-82.373941998,442.012,13958043.501,1246968.250,550.835,7.461,10:00:06 18 Feb 2009,,,,0.019,0.030,0.002,,,,1,6
144_A,LRdot,+38.430030195,-82.373863704,442.091,13958053.542,1246990.826,550.914,7.461,10:00:07 18 Feb 2009,,,,0.021,0.033,0.002,,,,1,6
145_A,LRdot,+38.430061641,-82.373777435,442.082,13958064.622,1247015.703,550.905,7.461,10:00:08 18 Feb 2009,,,,0.057,0.094,0.002,,,,1,5
146_A,LRdot,+38.430116057,-82.373628125,442.241,13958083.796,1247058.757,551.064,7.461,10:00:10 18 Feb 2009,,,,0.054,0.089,0.004,,,,1,5
147_A,LRdot,+38.430147572,-82.373541863,442.325,13958094.901,1247083.631,551.148,7.461,10:00:11 18 Feb 2009,,,,0.021,0.035,0.004,,,,1,5
148_A,LRdot,+38.430176223,-82.373463444,442.390,13958104.998,1247106.244,551.214,7.461,10:00:12 18 Feb 2009,,,,0.020,0.032,0.001,,,,1,5
149_A,LRdot,+38.430205019,-82.373384522,442.478,13958115.144,1247129.002,551.302,7.461,10:00:13 18 Feb 2009,,,,0.045,0.074,0.001,,,,1,5
150_A,LRdot,+38.430234108,-82.373304736,442.496,13958125.394,1247152.008,551.320,7.461,10:00:14 18 Feb 2009,,,,0.024,0.040,0.003,,,,1,5
151_A,LRdot,+38.430263345,-82.373224191,442.564,13958135.695,1247175.233,551.389,7.461,10:00:15 18 Feb 2009,,,,0.035,0.057,0.002,,,,1,5
152_A,LRdot,+38.430292631,-82.373143311,442.692,13958146.012,1247198.554,551.517,7.461,10:00:16 18 Feb 2009,,,,0.023,0.039,0.002,,,,1,5
153_A,LRdot,+38.430321661,-82.373063786,442.753,13958156.241,1247221.486,551.578,7.461,10:00:17 18 Feb 2009,,,,0.024,0.039,0.002,,,,1,5
154_A,LRdot,+38.430349527,-82.372986843,442.803,13958166.058,1247243.671,551.629,7.461,10:00:18 18 Feb 2009,,,,0.018,0.029,0.002,,,,1,5
155_A,LRdot,+38.430376780,-82.372912905,442.881,13958175.664,1247264.993,551.706,7.461,10:00:19 18 Feb 2009,,,,0.027,0.044,0.001,,,,1,5
156_A,LRdot,+38.430402410,-82.372841695,442.969,13958184.692,1247285.525,551.794,7.461,10:00:20 18 Feb 2009,,,,0.032,0.052,0.002,,,,1,5
157_A,LRdot,+38.430427288,-82.372773394,443.040,13958193.457,1247305.220,551.866,7.461,10:00:21 18 Feb 2009,,,,0.032,0.052,0.002,,,,1,5
158_A,LRdot,+38.430450742,-82.372708943,443.027,13958201.722,1247323.804,551.853,7.461,10:00:22 18 Feb 2009,,,,0.018,0.030,0.002,,,,1,5
159_A,LRdot,+38.430474242,-82.372644385,443.092,13958210.002,1247342.419,551.918,7.461,10:00:23 18 Feb 2009,,,,0.043,0.071,0.001,,,,1,5
160_A,LRdot,+38.430492058,-82.372595260,443.185,13958216.278,1247356.584,552.011,7.461,10:00:24 18 Feb 2009,,,,0.029,0.048,0.003,,,,1,5
161_A,LRdot,+38.430510714,-82.372543960,443.269,13958222.852,1247371.376,552.095,7.461,10:00:25 18 Feb 2009,,,,0.033,0.054,0.002,,,,1,5
162_A,LRdot,+38.430529528,-82.372492072,443.359,13958229.480,1247386.338,552.186,7.461,10:00:26 18 Feb 2009,,,,0.033,0.054,0.002,,,,1,5
163_A,LRdot,+38.430543683,-82.372453112,443.391,13958234.467,1247397.571,552.218,7.461,10:00:27 18 Feb 2009,,,,0.024,0.040,0.002,,,,1,5
164_A,LRdot,+38.430558416,-82.372412583,443.464,13958239.658,1247409.258,552.290,7.461,10:00:28 18 Feb 2009,,,,0.018,0.030,0.002,,,,1,5
165_A,LRdot,+38.430573661,-82.372370618,443.607,13958245.029,1247421.358,552.434,7.461,10:00:29 18 Feb 2009,,,,0.018,0.030,0.001,,,,1,5
166_A,LRdot,+38.430585870,-82.372337434,443.637,13958249.332,1247430.928,552.464,7.461,10:00:30 18 Feb 2009,,,,0.019,0.032,0.001,,,,1,5
167_A,LRdot,+38.430594954,-82.372312239,443.731,13958252.532,1247438.192,552.558,7.461,10:00:31 18 Feb 2009,,,,0.027,0.045,0.001,,,,1,5
168_A,LRdot,+38.430604840,-82.372285263,443.771,13958256.016,1247445.971,552.598,7.461,10:00:32 18 Feb 2009,,,,0.029,0.048,0.002,,,,1,5
169_A,LRdot,+38.430613360,-82.372261704,443.831,13958259.018,1247452.764,552.658,7.461,10:00:33 18 Feb 2009,,,,0.026,0.040,0.002,,,,1,6
170_A,LRdot,+38.430623271,-82.372234596,443.809,13958262.511,1247460.580,552.636,7.461,10:00:34 18 Feb 2009,,,,0.024,0.038,0.002,,,,1,6
171_A,LRdot,+38.430632782,-82.372208200,443.962,13958265.861,1247468.191,552.790,7.461,10:00:35 18 Feb 2009,,,,0.040,0.062,0.002,,,,1,6
172_A,LRdot,+38.430642446,-82.372181562,444.001,13958269.265,1247475.872,552.829,7.461,10:00:36 18 Feb 2009,,,,0.030,0.046,0.003,,,,1,6
173_A,LRdot,+38.430653754,-82.372150448,444.004,13958273.249,1247484.843,552.831,7.461,10:00:37 18 Feb 2009,,,,0.032,0.050,0.002,,,,1,6
174_A,LRdot,+38.430665679,-82.372117532,444.081,13958277.451,1247494.334,552.908,7.461,10:00:38 18 Feb 2009,,,,0.057,0.090,0.002,,,,1,6
175_A,LRdot,+38.430679136,-82.372080989,444.082,13958282.194,1247504.873,552.909,7.461,10:00:39 18 Feb 2009,,,,0.021,0.033,0.005,,,,1,6
176_A,LRdot,+38.430694620,-82.372038197,444.206,13958287.649,1247517.211,553.034,7.461,10:00:40 18 Feb 2009,,,,0.019,0.030,0.002,,,,1,6
177_A,LRdot,+38.430711853,-82.371990618,444.261,13958293.720,1247530.930,553.089,7.461,10:00:41 18 Feb 2009,,,,0.024,0.038,0.002,,,,1,6
178_A,LRdot,+38.430729703,-82.371941104,444.354,13958300.008,1247545.206,553.182,7.461,10:00:42 18 Feb 2009,,,,0.041,0.064,0.002,,,,1,6
179_A,LRdot,+38.430748155,-82.371889985,444.411,13958306.507,1247559.945,553.240,7.461,10:00:43 18 Feb 2009,,,,0.023,0.036,0.004,,,,1,6
180_A,LRdot,+38.430765921,-82.371840851,444.494,13958312.766,1247574.112,553.322,7.461,10:00:44 18 Feb 2009,,,,0.025,0.040,0.002,,,,1,6
