PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5262_E,38.4189309,-82.35141428,455.718,13953917.63,1253360.578,560.423
5263_E,38.41892868,-82.35143756,455.719,13953916.91,1253353.898,560.424
5264_E,38.4189252,-82.35147645,455.703,13953915.81,1253342.738,560.408
5265_E,38.4189224,-82.35150751,455.629,13953914.92,1253333.829,560.334
5266_E,38.41891953,-82.35153832,455.679,13953914.01,1253324.987,560.384
5267_E,38.41891671,-82.35156917,455.708,13953913.11,1253316.137,560.413
5268_E,38.41891464,-82.35159225,455.701,13953912.45,1253309.515,560.406
5269_E,38.41891117,-82.35163059,455.651,13953911.35,1253298.515,560.356
5270_E,38.41890834,-82.35166112,455.673,13953910.45,1253289.756,560.378
5271_E,38.41890549,-82.35169154,455.729,13953909.54,1253281.028,560.434
5272_E,38.41890269,-82.35172199,455.685,13953908.65,1253272.292,560.39
5273_E,38.41890066,-82.35174464,455.723,13953908,1253265.794,560.428
5274_E,38.41889711,-82.35178243,455.705,13953906.87,1253254.951,560.409
5275_E,38.41889446,-82.35181257,455.659,13953906.03,1253246.304,560.363
5276_E,38.41889166,-82.35184258,455.673,13953905.14,1253237.693,560.377
5277_E,38.41888883,-82.35187238,455.694,13953904.23,1253229.142,560.398
5278_E,38.41888676,-82.35189481,455.691,13953903.57,1253222.706,560.395
5279_E,38.41888332,-82.35193201,455.684,13953902.48,1253212.033,560.388
5280_E,38.41888057,-82.35196171,455.654,13953901.6,1253203.514,560.358
5281_E,38.41887791,-82.35199122,455.659,13953900.76,1253195.047,560.363
5282_E,38.41887522,-82.35202071,455.662,13953899.9,1253186.585,560.365
5283_E,38.41887315,-82.3520428,455.668,13953899.24,1253180.248,560.371
5284_E,38.41886976,-82.35207942,455.669,13953898.16,1253169.742,560.372
5285_E,38.41886709,-82.35210869,455.676,13953897.31,1253161.344,560.379
5286_E,38.41886444,-82.35213782,455.67,13953896.47,1253152.985,560.373
5287_E,38.41886177,-82.35216686,455.628,13953895.62,1253144.653,560.331
5288_E,38.41885906,-82.35219582,455.644,13953894.75,1253136.345,560.347
5289_E,38.41885643,-82.35222464,455.67,13953893.92,1253128.075,560.373
5290_E,38.41885385,-82.35225334,455.612,13953893.1,1253119.84,560.316
5291_E,38.41885125,-82.35228177,455.63,13953892.27,1253111.685,560.333
5292_E,38.41884869,-82.35230979,455.613,13953891.46,1253103.644,560.316
5293_E,38.41884612,-82.35233751,455.63,13953890.64,1253095.692,560.333
5294_E,38.4188436,-82.35236483,455.627,13953889.83,1253087.852,560.33
5295_E,38.41884112,-82.35239167,455.589,13953889.04,1253080.152,560.292
5296_E,38.41883867,-82.352418,455.611,13953888.26,1253072.599,560.313
5297_E,38.41883634,-82.35244393,455.582,13953887.52,1253065.158,560.284
5298_E,38.41883401,-82.35246934,455.582,13953886.78,1253057.867,560.284
5299_E,38.41883177,-82.35249426,455.562,13953886.07,1253050.718,560.264
5300_E,38.41882947,-82.35251876,455.613,13953885.34,1253043.689,560.316
5301_E,38.41882723,-82.35254296,455.592,13953884.62,1253036.746,560.295
5302_E,38.41882511,-82.35256672,455.597,13953883.95,1253029.928,560.299
5303_E,38.41882292,-82.35259021,455.6,13953883.25,1253023.19,560.302
5304_E,38.41882077,-82.35261336,455.576,13953882.57,1253016.548,560.278
5305_E,38.41881873,-82.35263614,455.576,13953881.92,1253010.013,560.278
5306_E,38.41881665,-82.3526586,455.578,13953881.26,1253003.568,560.28
5307_E,38.41881456,-82.35268076,455.608,13953880.59,1252997.21,560.31
5308_E,38.41881254,-82.35270259,455.643,13953879.95,1252990.947,560.346
5309_E,38.41881058,-82.3527241,455.628,13953879.32,1252984.775,560.33
5310_E,38.41880865,-82.35274527,455.606,13953878.71,1252978.702,560.308
5311_E,38.41880673,-82.3527661,455.626,13953878.1,1252972.725,560.328
5312_E,38.41880481,-82.3527866,455.628,13953877.49,1252966.841,560.33
5313_E,38.41880291,-82.35280684,455.635,13953876.88,1252961.036,560.336
5314_E,38.41880113,-82.35282672,455.613,13953876.31,1252955.332,560.314
5315_E,38.4187993,-82.35284626,455.638,13953875.73,1252949.725,560.34
5316_E,38.41879755,-82.35286556,455.632,13953875.18,1252944.187,560.333
5317_E,38.41879575,-82.35288448,455.634,13953874.6,1252938.76,560.336
5318_E,38.41879411,-82.35290303,455.651,13953874.08,1252933.439,560.353
5319_E,38.41879245,-82.35292134,455.619,13953873.55,1252928.184,560.32
5320_E,38.41879077,-82.35293931,455.653,13953873.02,1252923.027,560.354
5321_E,38.41878917,-82.35295695,455.656,13953872.51,1252917.968,560.358
5322_E,38.41878757,-82.35297431,455.669,13953872,1252912.986,560.37
5323_E,38.41878446,-82.3530081,455.682,13953871.01,1252903.293,560.384
5324_E,38.41878145,-82.35304069,455.683,13953870.05,1252893.941,560.385
