PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
4106_D,38.41886054,-82.35139473,455.528,13953891.93,1253365.8,560.233
4107_D,38.41885866,-82.35141513,455.549,13953891.33,1253359.947,560.254
4108_D,38.41885551,-82.35144889,455.575,13953890.33,1253350.261,560.28
4109_D,38.41885301,-82.35147556,455.552,13953889.52,1253342.609,560.257
4110_D,38.4188506,-82.35150223,455.577,13953888.76,1253334.956,560.282
4111_D,38.4188481,-82.35152866,455.573,13953887.96,1253327.374,560.277
4112_D,38.41884577,-82.35155505,455.548,13953887.22,1253319.802,560.253
4113_D,38.41884323,-82.35158105,455.567,13953886.41,1253312.343,560.272
4114_D,38.41884087,-82.35160679,455.57,13953885.66,1253304.956,560.275
4115_D,38.41883847,-82.35163233,455.565,13953884.89,1253297.63,560.269
4116_D,38.41883618,-82.3516575,455.58,13953884.16,1253290.408,560.285
4117_D,38.41883443,-82.35167619,455.576,13953883.6,1253285.046,560.28
4118_D,38.41883164,-82.35170708,455.595,13953882.72,1253276.184,560.299
4119_D,38.41882934,-82.35173141,455.588,13953881.98,1253269.203,560.293
4120_D,38.41882708,-82.35175551,455.58,13953881.26,1253262.288,560.284
4121_D,38.41882497,-82.35177928,455.618,13953880.59,1253255.467,560.322
4122_D,38.41882321,-82.35179692,455.601,13953880.03,1253250.407,560.305
4123_D,38.41882065,-82.35182598,455.632,13953879.22,1253242.068,560.336
4124_D,38.4188185,-82.35184894,455.638,13953878.53,1253235.48,560.342
4125_D,38.41881656,-82.35187168,455.664,13953877.92,1253228.959,560.367
4126_D,38.41881425,-82.35189406,455.636,13953877.17,1253222.536,560.34
4127_D,38.41881222,-82.35191622,455.643,13953876.53,1253216.177,560.347
4128_D,38.41881023,-82.35193812,455.709,13953875.89,1253209.894,560.413
4129_D,38.41880815,-82.35195974,455.708,13953875.23,1253203.689,560.412
4130_D,38.41880618,-82.35198114,455.695,13953874.6,1253197.549,560.398
4131_D,38.41880419,-82.35200233,455.721,13953873.96,1253191.47,560.424
4132_D,38.41880221,-82.35202316,455.706,13953873.33,1253185.493,560.409
4133_D,38.41880029,-82.3520438,455.758,13953872.72,1253179.573,560.461
4134_D,38.41879841,-82.3520643,455.769,13953872.12,1253173.689,560.472
4135_D,38.41879656,-82.35208444,455.752,13953871.53,1253167.91,560.455
4136_D,38.41879467,-82.3521044,455.827,13953870.93,1253162.184,560.53
4137_D,38.41879282,-82.35212405,455.811,13953870.34,1253156.547,560.514
4138_D,38.41879107,-82.3521436,455.815,13953869.78,1253150.939,560.519
4139_D,38.41878922,-82.35216281,455.83,13953869.19,1253145.426,560.533
4140_D,38.41878752,-82.35218178,455.836,13953868.65,1253139.983,560.54
4141_D,38.41878574,-82.35220061,455.856,13953868.08,1253134.58,560.559
4142_D,38.41878412,-82.3522192,455.853,13953867.57,1253129.248,560.556
4143_D,38.41878229,-82.35223752,455.904,13953866.98,1253123.989,560.607
4144_D,38.41878062,-82.35225564,455.899,13953866.45,1253118.793,560.602
4145_D,38.418779,-82.35227351,455.882,13953865.93,1253113.665,560.585
4146_D,38.41877736,-82.35229117,455.944,13953865.41,1253108.596,560.647
4147_D,38.41877575,-82.35230865,455.934,13953864.9,1253103.582,560.637
4148_D,38.41877251,-82.35234289,455.959,13953863.86,1253093.758,560.662
4149_D,38.41876948,-82.35237593,455.937,13953862.9,1253084.279,560.639
4150_D,38.41876766,-82.35239596,455.986,13953862.32,1253078.531,560.689
4151_D,38.41876508,-82.35242295,456.005,13953861.49,1253070.786,560.707
4152_D,38.41876234,-82.35245237,455.999,13953860.62,1253062.345,560.701
4153_D,38.41875978,-82.3524801,456.031,13953859.8,1253054.389,560.733
4154_D,38.41875737,-82.35250611,456.04,13953859.04,1253046.926,560.743
4155_D,38.4187552,-82.35252981,456.023,13953858.34,1253040.128,560.725
4156_D,38.4187533,-82.35255075,456.069,13953857.74,1253034.118,560.771
4157_D,38.41875164,-82.35256921,456.047,13953857.21,1253028.823,560.75
4158_D,38.41874967,-82.35259062,456.057,13953856.59,1253022.682,560.76
4159_D,38.41874798,-82.35260809,456.057,13953856.05,1253017.667,560.759
4160_D,38.41874525,-82.35263766,456.018,13953855.17,1253009.183,560.72
4161_D,38.41874243,-82.35266784,456.028,13953854.28,1253000.524,560.73
4162_D,38.41873902,-82.35270504,456.021,13953853.19,1252989.851,560.723
4163_D,38.41873524,-82.35274625,456.053,13953851.99,1252978.027,560.755
4164_D,38.41872705,-82.35283501,456.058,13953849.38,1252952.561,560.76
4165_D,38.41872523,-82.35285461,456.023,13953848.8,1252946.937,560.725
4166_D,38.4187231,-82.35287792,456.056,13953848.12,1252940.249,560.758
4167_D,38.41872084,-82.35290218,456.047,13953847.4,1252933.29,560.749
4168_D,38.4187188,-82.35292406,456.052,13953846.75,1252927.012,560.753
4169_D,38.41871614,-82.35295304,456.054,13953845.9,1252918.697,560.755
4170_D,38.41871369,-82.35297939,456.067,13953845.12,1252911.136,560.768
4171_D,38.41871129,-82.35300627,455.993,13953844.36,1252903.424,560.694
4172_D,38.41870877,-82.35303361,456.012,13953843.56,1252895.581,560.713
4173_D,38.41870642,-82.35305797,455.915,13953842.81,1252888.592,560.616
4174_D,38.41870473,-82.3530754,455.992,13953842.26,1252883.591,560.693
4175_D,38.41870212,-82.35310403,455.969,13953841.43,1252875.374,560.67
4176_D,38.41869962,-82.35312946,456.006,13953840.63,1252868.078,560.707
4177_D,38.4186981,-82.35314789,455.994,13953840.15,1252862.792,560.695
4178_D,38.41869501,-82.3531781,456.369,13953839.16,1252854.122,561.07
4179_D,38.41866912,-82.35346365,456.036,13953830.93,1252772.197,560.736
4180_D,38.41866687,-82.35348741,456.072,13953830.21,1252765.379,560.772
4181_D,38.41866514,-82.35350671,456.098,13953829.66,1252759.84,560.798
4182_D,38.41866336,-82.3535262,456.086,13953829.1,1252754.25,560.786
4183_D,38.41866146,-82.35354589,456.127,13953828.49,1252748.599,560.827
4184_D,38.4186597,-82.35356577,456.11,13953827.93,1252742.897,560.809
4185_D,38.41865775,-82.35358593,456.14,13953827.31,1252737.111,560.839
4186_D,38.41865587,-82.35360639,456.181,13953826.71,1252731.24,560.881
4187_D,38.41865395,-82.35362703,456.211,13953826.1,1252725.319,560.91
4188_D,38.41865204,-82.35364792,456.208,13953825.49,1252719.326,560.908
4189_D,38.41865015,-82.35366903,456.183,13953824.89,1252713.27,560.883
4190_D,38.41864811,-82.35369036,456.202,13953824.24,1252707.15,560.901
4191_D,38.41864618,-82.35371193,456.183,13953823.62,1252700.96,560.882
4192_D,38.41864409,-82.3537337,456.188,13953822.95,1252694.713,560.888
4193_D,38.41864204,-82.35375577,456.198,13953822.3,1252688.383,560.898
4194_D,38.41864002,-82.35377797,456.206,13953821.66,1252682.011,560.905
4195_D,38.41863798,-82.35380026,456.186,13953821.01,1252675.617,560.885
4196_D,38.41863588,-82.35382288,456.229,13953820.34,1252669.128,560.928
4197_D,38.41863373,-82.35384553,456.234,13953819.65,1252662.629,560.933
4198_D,38.41863163,-82.35386833,456.267,13953818.98,1252656.086,560.966
4199_D,38.4186295,-82.3538912,456.265,13953818.31,1252649.524,560.964
4200_D,38.41862748,-82.35391428,456.253,13953817.67,1252642.903,560.952
4201_D,38.41862529,-82.35393737,456.278,13953816.97,1252636.279,560.977
4202_D,38.4186232,-82.35396056,456.279,13953816.31,1252629.624,560.978
4203_D,38.41862107,-82.35398388,456.322,13953815.63,1252622.933,561.021
4204_D,38.41861944,-82.3540014,456.306,13953815.11,1252617.906,561.005
4205_D,38.41861668,-82.35403076,456.327,13953814.22,1252609.483,561.026
4206_D,38.41861451,-82.35405423,456.278,13953813.53,1252602.748,560.977
4207_D,38.41861231,-82.35407784,456.3,13953812.83,1252595.976,560.999
4208_D,38.4186102,-82.35410151,456.308,13953812.17,1252589.185,561.007
4209_D,38.41860792,-82.35412523,456.316,13953811.44,1252582.379,561.015
4210_D,38.41860586,-82.354149,456.26,13953810.78,1252575.559,560.958
4211_D,38.41860364,-82.35417286,456.277,13953810.08,1252568.712,560.976
4212_D,38.41860144,-82.35419674,456.265,13953809.37,1252561.861,560.963
4213_D,38.41859923,-82.35422073,456.304,13953808.67,1252554.977,561.003
4214_D,38.41859756,-82.35423873,456.302,13953808.14,1252549.813,561
4215_D,38.41859474,-82.35426884,456.306,13953807.24,1252541.176,561.004
4216_D,38.41859256,-82.35429297,456.303,13953806.55,1252534.252,561.001
4217_D,38.41859036,-82.3543171,456.321,13953805.85,1252527.327,561.019
4218_D,38.41858811,-82.35434132,456.295,13953805.13,1252520.379,560.993
4219_D,38.41858648,-82.35435943,456.319,13953804.61,1252515.182,561.017
4220_D,38.41858378,-82.35438974,456.296,13953803.76,1252506.488,560.994
4221_D,38.4185815,-82.3544139,456.293,13953803.03,1252499.555,560.991
4222_D,38.41857924,-82.3544381,456.324,13953802.31,1252492.612,561.022
4223_D,38.418577,-82.35446228,456.309,13953801.6,1252485.674,561.006
4224_D,38.41857537,-82.35448032,456.273,13953801.08,1252480.499,560.971
4225_D,38.41857265,-82.35451048,456.267,13953800.21,1252471.847,560.965
4226_D,38.41857043,-82.35453449,456.287,13953799.51,1252464.957,560.984
4227_D,38.41856824,-82.35455842,456.314,13953798.81,1252458.09,561.012
4228_D,38.41856597,-82.35458227,456.299,13953798.09,1252451.247,560.996
4229_D,38.41856442,-82.35460018,456.306,13953797.59,1252446.11,561.003
4230_D,38.41856165,-82.35462983,456.289,13953796.71,1252437.602,560.987
4231_D,38.41855952,-82.35465348,456.301,13953796.04,1252430.818,560.998
4232_D,38.41855726,-82.3546771,456.336,13953795.31,1252424.039,561.033
4233_D,38.41855518,-82.35470059,456.288,13953794.66,1252417.302,560.985
4234_D,38.41855348,-82.35471816,456.298,13953794.11,1252412.258,560.995
4235_D,38.41855088,-82.3547473,456.261,13953793.29,1252403.898,560.958
4236_D,38.41854871,-82.35477058,456.264,13953792.59,1252397.218,560.96
4237_D,38.41854651,-82.3547938,456.302,13953791.89,1252390.557,560.999
4238_D,38.41854448,-82.35481697,456.259,13953791.25,1252383.909,560.956
4239_D,38.41854233,-82.35484008,456.261,13953790.56,1252377.279,560.957
4240_D,38.41854026,-82.35486305,456.258,13953789.91,1252370.689,560.955
4241_D,38.41853811,-82.35488602,456.265,13953789.22,1252364.098,560.962
4242_D,38.41853604,-82.3549089,456.254,13953788.56,1252357.533,560.95
4243_D,38.41853394,-82.35493176,456.26,13953787.89,1252350.975,560.956
4244_D,38.41853181,-82.35495446,456.262,13953787.22,1252344.462,560.958
4245_D,38.41852965,-82.35497711,456.247,13953786.52,1252337.963,560.944
4246_D,38.41852756,-82.35499971,456.237,13953785.86,1252331.479,560.934
4247_D,38.41852545,-82.35502224,456.24,13953785.18,1252325.013,560.937
4248_D,38.41852342,-82.35504472,456.218,13953784.54,1252318.564,560.914
4249_D,38.41852132,-82.35506711,456.229,13953783.87,1252312.14,560.925
4250_D,38.4185193,-82.35508943,456.222,13953783.23,1252305.736,560.918
4251_D,38.41851727,-82.3551117,456.236,13953782.58,1252299.347,560.932
4252_D,38.41851517,-82.35513391,456.23,13953781.91,1252292.973,560.926
4253_D,38.41851315,-82.35515601,456.211,13953781.27,1252286.632,560.907
4254_D,38.4185111,-82.35517811,456.212,13953780.62,1252280.291,560.908
4255_D,38.4185091,-82.35520009,456.211,13953779.98,1252273.986,560.907
4256_D,38.41850708,-82.35522203,456.216,13953779.34,1252267.692,560.912
4257_D,38.41850512,-82.35524386,456.208,13953778.72,1252261.427,560.903
4258_D,38.4185031,-82.35526561,456.192,13953778.07,1252255.186,560.888
4259_D,38.41850117,-82.35528734,456.183,13953777.46,1252248.952,560.878
4260_D,38.41849909,-82.35530901,456.183,13953776.8,1252242.734,560.878
4261_D,38.41849713,-82.35533062,456.186,13953776.17,1252236.535,560.882
4262_D,38.41849514,-82.35535218,456.182,13953775.54,1252230.35,560.877
4263_D,38.41849322,-82.35537358,456.166,13953774.93,1252224.209,560.861
4264_D,38.41849123,-82.35539501,456.173,13953774.3,1252218.06,560.868
4265_D,38.4184893,-82.35541631,456.154,13953773.68,1252211.948,560.849
4266_D,38.41848727,-82.35543755,456.175,13953773.03,1252205.854,560.87
4267_D,38.41848534,-82.35545875,456.157,13953772.42,1252199.774,560.852
4268_D,38.41848339,-82.35547988,456.148,13953771.8,1252193.71,560.843
4269_D,38.41848143,-82.35550092,456.168,13953771.17,1252187.674,560.863
4270_D,38.41847956,-82.35552187,456.163,13953770.58,1252181.662,560.858
4271_D,38.41847764,-82.35554283,456.132,13953769.97,1252175.65,560.827
4272_D,38.41847565,-82.35556373,456.205,13953769.33,1252169.651,560.9
4273_D,38.41847384,-82.35558452,456.168,13953768.76,1252163.687,560.863
4274_D,38.41847191,-82.35560527,456.181,13953768.15,1252157.734,560.875
4275_D,38.41846998,-82.35562593,456.169,13953767.53,1252151.807,560.864
4276_D,38.41846809,-82.35564651,456.163,13953766.93,1252145.902,560.858
4277_D,38.41846618,-82.35566708,456.153,13953766.32,1252140,560.848
4278_D,38.41846426,-82.35568752,456.182,13953765.71,1252134.135,560.876
4279_D,38.41846239,-82.35570792,456.145,13953765.12,1252128.282,560.839
4280_D,38.41846051,-82.35572826,456.146,13953764.52,1252122.446,560.84
4281_D,38.41845867,-82.35574854,456.152,13953763.93,1252116.629,560.847
4282_D,38.41845681,-82.35576875,456.128,13953763.34,1252110.828,560.823
4283_D,38.41845495,-82.355789,456.161,13953762.75,1252105.019,560.856
4284_D,38.4184531,-82.35580905,456.132,13953762.16,1252099.266,560.826
4285_D,38.41845126,-82.35582911,456.176,13953761.57,1252093.511,560.87
4286_D,38.41844944,-82.35584904,456.163,13953760.99,1252087.793,560.857
4287_D,38.4184476,-82.35586897,456.175,13953760.41,1252082.073,560.869
4288_D,38.41844582,-82.35588876,456.166,13953759.84,1252076.397,560.86
4289_D,38.41844394,-82.35590851,456.182,13953759.24,1252070.731,560.876
4290_D,38.41844216,-82.35592824,456.177,13953758.68,1252065.068,560.871
4291_D,38.41844027,-82.35594785,456.182,13953758.07,1252059.443,560.876
4292_D,38.41843854,-82.35596739,456.19,13953757.52,1252053.835,560.884
4293_D,38.41843672,-82.35598686,456.185,13953756.94,1252048.251,560.878
4294_D,38.41843483,-82.35600631,456.203,13953756.34,1252042.67,560.897
4295_D,38.41843315,-82.35602568,456.219,13953755.81,1252037.111,560.913
4296_D,38.41843133,-82.35604496,456.203,13953755.23,1252031.581,560.897
4297_D,38.41842958,-82.3560642,456.228,13953754.67,1252026.059,560.922
4298_D,38.41842771,-82.35608333,456.238,13953754.07,1252020.57,560.932
4299_D,38.41842601,-82.35610247,456.235,13953753.53,1252015.08,560.928
4300_D,38.41842425,-82.35612149,456.241,13953752.97,1252009.621,560.935
4301_D,38.41842249,-82.35614041,456.218,13953752.41,1252004.192,560.911
4302_D,38.41842073,-82.35615938,456.245,13953751.85,1251998.751,560.939
4303_D,38.418419,-82.35617834,456.267,13953751.3,1251993.311,560.961
