PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
6462_C,38.41687014,-82.37388226,465.32,13953259.76,1246915.176,566.842
6463_C,38.41686801,-82.37390482,465.308,13953259.08,1246908.703,566.83
6464_C,38.41686595,-82.37392744,465.327,13953258.43,1246902.212,566.849
6465_C,38.41686384,-82.37395011,465.376,13953257.76,1246895.709,566.898
6466_C,38.41686176,-82.37397279,465.333,13953257.1,1246889.202,566.855
6467_C,38.41685975,-82.37399553,465.373,13953256.46,1246882.677,566.895
6468_C,38.41685761,-82.37401828,465.375,13953255.78,1246876.147,566.898
6469_C,38.41685546,-82.37404098,465.348,13953255.09,1246869.635,566.87
6470_C,38.41685339,-82.37406371,465.389,13953254.44,1246863.113,566.911
6471_C,38.4168513,-82.37408653,465.427,13953253.77,1246856.564,566.949
6472_C,38.41684918,-82.3741094,465.396,13953253.1,1246850.004,566.918
6473_C,38.41684707,-82.37413217,465.431,13953252.43,1246843.471,566.953
6474_C,38.41684496,-82.37415492,465.463,13953251.76,1246836.943,566.985
6475_C,38.41684285,-82.37417769,465.513,13953251.09,1246830.409,567.034
6476_C,38.41684083,-82.37420048,465.508,13953250.45,1246823.871,567.03
6477_C,38.41683867,-82.37422322,465.544,13953249.76,1246817.344,567.066
6478_C,38.41683663,-82.37424607,465.506,13953249.11,1246810.79,567.028
6479_C,38.41683437,-82.37426881,465.624,13953248.39,1246804.264,567.146
6480_C,38.41683227,-82.37429147,465.641,13953247.72,1246797.762,567.163
6481_C,38.41683013,-82.37431416,465.685,13953247.04,1246791.251,567.207
6482_C,38.41682814,-82.37433695,465.664,13953246.41,1246784.711,567.186
6483_C,38.41682609,-82.37435974,465.677,13953245.76,1246778.174,567.198
6484_C,38.41682394,-82.37438242,465.702,13953245.08,1246771.665,567.224
6485_C,38.41682187,-82.37440514,465.734,13953244.42,1246765.146,567.255
6486_C,38.41681977,-82.37442784,465.695,13953243.75,1246758.634,567.217
6487_C,38.41681762,-82.37445047,465.776,13953243.07,1246752.14,567.297
6488_C,38.41681553,-82.37447306,465.76,13953242.4,1246745.659,567.281
6489_C,38.41681347,-82.37449571,465.801,13953241.75,1246739.158,567.322
6490_C,38.41681138,-82.37451838,465.844,13953241.08,1246732.653,567.365
6491_C,38.41680931,-82.37454093,465.882,13953240.43,1246726.184,567.402
6492_C,38.41680724,-82.37456357,465.822,13953239.77,1246719.687,567.343
6493_C,38.41680515,-82.37458614,465.887,13953239.11,1246713.212,567.408
6494_C,38.41680305,-82.37460874,465.908,13953238.44,1246706.728,567.428
6495_C,38.41680097,-82.37463127,465.931,13953237.78,1246700.263,567.452
