PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5917_B,38.41851306,-82.35565241,459.625,13953780.59,1252145.525,561.191
5918_B,38.41851097,-82.35567545,459.603,13953779.92,1252138.917,561.17
5919_B,38.41850882,-82.35569843,459.625,13953779.24,1252132.323,561.191
5920_B,38.41850676,-82.3557215,459.629,13953778.59,1252125.704,561.195
5921_B,38.4185046,-82.35574456,459.659,13953777.9,1252119.089,561.225
5922_B,38.41850251,-82.35576768,459.626,13953777.23,1252112.454,561.192
5923_B,38.41850035,-82.35579081,459.641,13953776.54,1252105.817,561.207
5924_B,38.41849819,-82.35581409,459.655,13953775.86,1252099.139,561.221
5925_B,38.41849605,-82.35583728,459.654,13953775.18,1252092.486,561.219
5926_B,38.41849397,-82.35586053,459.696,13953774.52,1252085.814,561.262
5927_B,38.41849182,-82.35588378,459.704,13953773.83,1252079.144,561.269
5928_B,38.41848966,-82.35590713,459.733,13953773.14,1252072.444,561.299
5929_B,38.4184875,-82.35593048,459.751,13953772.45,1252065.745,561.317
5930_B,38.41848537,-82.35595386,459.774,13953771.78,1252059.038,561.34
5931_B,38.41848317,-82.35597722,459.777,13953771.08,1252052.333,561.343
5932_B,38.41848103,-82.35600066,459.81,13953770.39,1252045.61,561.375
5933_B,38.41847898,-82.35602413,459.809,13953769.75,1252038.876,561.374
5934_B,38.41847682,-82.35604763,459.845,13953769.06,1252032.134,561.41
5935_B,38.41847466,-82.35607115,459.88,13953768.37,1252025.386,561.445
5936_B,38.41847259,-82.35609468,459.87,13953767.72,1252018.635,561.435
5937_B,38.41847039,-82.35611826,459.883,13953767.02,1252011.87,561.449
5938_B,38.41846821,-82.35614189,459.915,13953766.32,1252005.089,561.48
5939_B,38.41846604,-82.35616552,459.906,13953765.63,1251998.31,561.471
5940_B,38.41846391,-82.35618918,459.912,13953764.96,1251991.521,561.477
5941_B,38.41846162,-82.35621286,459.953,13953764.22,1251984.727,561.518
5942_B,38.41845948,-82.35623661,459.911,13953763.54,1251977.913,561.476
