name, fCode, lati,long,ellHt,northing,easting,elev,antHt,horizPrec,vertPrec,startTime,RMS,MaxRDOP,MaxHDOP,MaxVDOP,NumPos,minSVs
AB, TOPO, +34.917216609, -79.663872385, 325.338, 425466.792, 1800992.808, 428.698, 6.562,0.029,0.046,26-May-2008 11:12:45 AM, 0.004,1.986,1.064,1.677,6,7
AC, TOPO, +34.917204828, -79.663863801, 325.291, 425462.488, 1800995.352, 428.651, 6.562,0.040,0.063,26-May-2008 11:13:17 AM, 0.007,1.984,1.065,1.674,5,7
A1, TRIG, +34.917211379, -79.663866783, 324.701, 425464.878, 1800994.474, 428.060, 6.562,0.023,0.034,26-May-2008 11:18:47 AM, 0.004,3.230,1.590,2.811,196,6
A2, TRIG, +34.917500248, -79.663156399, 324.567, 425568.581, 1801208.123, 427.932, 6.562,0.034,0.051,26-May-2008 11:25:58 AM, 0.005,1.939,1.090,1.603,192,6
B1, TRIG, +34.917349734, -79.663508048, 325.105, 425514.509, 1801102.346, 428.467, 6.562,0.009,0.037,26-May-2008 11:42:02 AM, 0.000,6.787,1.584,6.600,183,5
B2, TRIG, +34.917362058, -79.663515226, 325.136, 425519.009, 1801100.225, 428.499, 6.562,0.026,0.047,26-May-2008 11:47:45 AM, 0.002,3.199,1.559,2.793,182,5
D, Cal, +34.917354904, -79.663514187, 340.859, 425516.403, 1801100.519, 444.221, 0.000,0.032,0.055,26-May-2008 1:24:48 PM, 0.002,1.965,1.009,1.686,185,8
D2, CL, +34.917354924, -79.663514087, 340.856, 425516.410, 1801100.549, 444.218, 0.000,0.022,0.039,26-May-2008 1:28:23 PM, 0.005,2.221,1.093,1.933,181,8
main1, RET, +34.919207513, -79.656703679, 334.402, 426177.037, 1803146.513, 437.826, 6.562,0.020,0.032,26-May-2008 3:13:36 PM, 0.002,2.037,1.072,1.732,4,7
main2, RET, +34.919196645, -79.656693522, 334.417, 426173.062, 1803149.531, 437.841, 6.562,0.019,0.030,26-May-2008 3:13:50 PM, 0.002,2.038,1.071,1.734,4,7
main3, RET, +34.919030106, -79.656983902, 330.432, 426113.030, 1803062.087, 433.853, 6.562,0.023,0.036,26-May-2008 3:14:29 PM, 0.002,2.042,1.096,1.723,5,8
main4, RET, +34.919019325, -79.656973844, 330.421, 426109.087, 1803065.076, 433.843, 6.562,0.019,0.031,26-May-2008 3:14:49 PM, 0.002,1.762,0.946,1.487,5,8
entr1-80xpos, POS, +34.919009833, -79.657016490, 329.960, 426105.717, 1803052.270, 433.382, 6.562,0.027,0.043,26-May-2008 3:17:58 PM, 0.002,2.559,1.370,2.161,4,8
41-80pos, POS, +34.918774012, -79.657472907, 327.355, 426020.802, 1802914.888, 430.773, 6.562,0.021,0.035,26-May-2008 3:21:29 PM, 0.003,2.079,1.059,1.789,5,7
w2, WD, +34.918773196, -79.657475139, 327.331, 426020.510, 1802914.217, 430.749, 6.562,0.021,0.034,26-May-2008 3:22:58 PM, 0.003,1.783,0.955,1.505,4,8
g17-40epos, POS, +34.918528626, -79.657594118, 326.663, 425931.741, 1802877.962, 430.081, 6.562,0.020,0.034,26-May-2008 3:41:14 PM, 0.002,2.089,1.059,1.801,4,7
w3, WD, +34.918523146, -79.657598979, 326.499, 425929.756, 1802876.492, 429.917, 6.562,0.029,0.049,26-May-2008 3:44:03 PM, 0.005,1.470,0.751,1.263,4,7
w4, WD, +34.918518903, -79.657603317, 326.500, 425928.220, 1802875.181, 429.918, 6.562,0.031,0.052,26-May-2008 3:44:20 PM, 0.005,1.469,0.751,1.262,4,7
g17-40expos, POS, +34.918333615, -79.657796223, 325.534, 425861.173, 1802816.909, 428.951, 6.562,0.024,0.040,26-May-2008 3:45:41 PM, 0.004,2.071,1.064,1.777,6,7
65-74pos, POS, +34.918562539, -79.658778584, 321.002, 425946.437, 1802522.991, 424.407, 6.562,0.027,0.044,26-May-2008 4:41:02 PM, 0.004,1.855,0.950,1.593,5,8
69-74pos, POS, +34.918502305, -79.659148023, 320.687, 425925.251, 1802412.103, 424.089, 6.562,0.042,0.071,26-May-2008 4:42:16 PM, 0.009,2.336,1.189,2.011,5,8
65-68pos, POS, +34.918487742, -79.659144704, 320.640, 425919.945, 1802413.063, 424.042, 6.562,0.028,0.050,26-May-2008 4:42:28 PM, 0.006,2.334,1.151,2.031,5,7
66-68pos, POS, +34.918404533, -79.659505482, 320.516, 425890.381, 1802304.715, 423.915, 6.562,0.035,0.060,26-May-2008 4:43:52 PM, 0.005,1.887,0.953,1.629,4,8
70-74pos, POS, +34.918470345, -79.659521120, 320.687, 425914.363, 1802300.187, 424.086, 6.562,0.034,0.059,26-May-2008 4:44:21 PM, 0.007,1.338,0.674,1.156,4,8
71-74pos, POS, +34.918424522, -79.659892360, 320.447, 425898.426, 1802188.794, 423.841, 6.562,0.036,0.061,26-May-2008 4:45:08 PM, 0.004,1.344,0.675,1.162,4,8
67-68pos, POS, +34.918320693, -79.659867446, 320.417, 425860.591, 1802196.011, 423.812, 6.562,0.026,0.045,26-May-2008 4:45:48 PM, 0.003,2.302,1.128,2.006,4,7
72-74pos, POS, +34.918386622, -79.660191530, 320.207, 425885.230, 1802099.023, 423.599, 6.562,0.020,0.034,26-May-2008 4:46:43 PM, 0.002,1.917,0.956,1.662,4,8
57-64pos, POS, +34.918360989, -79.658705099, 322.020, 425872.941, 1802544.532, 425.427, 6.562,0.018,0.031,26-May-2008 4:49:58 PM, 0.004,1.378,0.678,1.200,3,8
EB1559-GPSobs, TRIG, +34.908748711, -79.683789934, 286.333, 422425.652, 1795001.045, 389.537, 6.562,0.039,0.069,26-May-2008 5:10:36 PM, 0.010,1.904,0.960,1.645,222,7
61-64pos, POS, +34.918302204, -79.659073312, 321.740, 425852.281, 1802434.015, 425.144, 6.562,0.027,0.062,26-May-2008 5:35:19 PM, 0.001,3.035,1.221,2.778,4,7
57-60pos, POS, +34.918261517, -79.659058941, 321.710, 425837.445, 1802438.224, 425.115, 6.562,0.028,0.051,26-May-2008 5:37:17 PM, 0.002,2.177,1.035,1.915,4,8
58-60pos, POS, +34.918165262, -79.659415881, 321.382, 425803.126, 1802330.996, 424.783, 6.562,0.019,0.035,26-May-2008 5:38:06 PM, 0.003,2.185,1.035,1.924,5,8
52-64pos, POS, +34.918229875, -79.659438647, 321.421, 425826.686, 1802324.327, 424.822, 6.562,0.022,0.041,26-May-2008 5:38:32 PM, 0.004,2.189,1.036,1.928,5,8
63-64pos, POS, +34.918157327, -79.659804315, 321.209, 425801.012, 1802214.540, 424.606, 6.562,0.032,0.060,26-May-2008 5:39:23 PM, 0.007,2.197,1.036,1.937,5,8
59-60pos, POS, +34.918056317, -79.659766374, 321.244, 425764.177, 1802225.669, 424.642, 6.562,0.026,0.050,26-May-2008 5:39:57 PM, 0.002,3.106,1.462,2.741,6,8
53-56pos, POS, +34.918196729, -79.658990538, 321.931, 425813.731, 1802458.572, 425.336, 6.562,0.018,0.031,26-May-2008 5:45:21 PM, 0.003,1.912,0.940,1.665,4,9
49-52pos, POS, +34.918165346, -79.658954365, 321.949, 425802.238, 1802469.339, 425.355, 6.562,0.018,0.031,26-May-2008 5:45:48 PM, 0.002,1.915,0.940,1.669,4,9
50-52pos, POS, +34.918020969, -79.659286127, 321.762, 425750.356, 1802369.542, 425.165, 6.562,0.022,0.039,26-May-2008 5:46:37 PM, 0.002,1.921,0.940,1.676,5,9
54-56pos, POS, +34.918074437, -79.659336379, 321.739, 425769.914, 1802354.607, 425.141, 6.562,0.018,0.032,26-May-2008 5:47:01 PM, 0.002,1.924,0.939,1.679,5,9
55-56pos, POS, +34.917952806, -79.659681189, 321.625, 425726.337, 1802250.953, 425.024, 6.562,0.022,0.040,26-May-2008 5:47:56 PM, 0.003,1.929,0.939,1.685,5,9
51-52pos, POS, +34.917864680, -79.659610043, 321.705, 425694.124, 1802272.067, 425.106, 6.562,0.019,0.034,26-May-2008 5:48:30 PM, 0.002,1.933,0.939,1.689,5,9
41-48pos, POS, +34.918212376, -79.658610931, 322.339, 425818.670, 1802572.401, 425.749, 6.562,0.029,0.047,26-May-2008 6:36:42 PM, 0.005,1.733,0.907,1.477,4,10
33-40pos, POS, +34.917935022, -79.658350929, 322.138, 425717.217, 1802649.669, 425.552, 6.562,0.020,0.033,26-May-2008 6:38:54 PM, 0.004,1.723,0.905,1.466,3,10
37-40pos, POS, +34.917763818, -79.658664230, 321.870, 425655.535, 1802555.341, 425.281, 6.562,0.022,0.036,26-May-2008 6:39:32 PM, 0.004,1.720,0.905,1.463,5,10
33-36pos, POS, +34.917729034, -79.658634120, 321.936, 425642.816, 1802564.282, 425.348, 6.562,0.020,0.033,26-May-2008 6:39:54 PM, 0.002,1.718,0.905,1.461,4,10
33-35pos, POS, +34.917520003, -79.658910491, 321.711, 425567.295, 1802480.932, 425.121, 6.562,0.028,0.045,26-May-2008 6:40:34 PM, 0.004,1.715,0.904,1.457,5,10
38-40pos, POS, +34.917609224, -79.658988693, 321.643, 425599.920, 1802457.706, 425.051, 6.562,0.029,0.046,26-May-2008 6:41:02 PM, 0.005,1.211,0.639,1.028,4,10
39-40pos, POS, +34.917458597, -79.659316664, 321.401, 425545.756, 1802359.029, 424.807, 6.562,0.030,0.048,26-May-2008 6:41:41 PM, 0.007,1.709,0.903,1.451,4,10
33-34pos, POS, +34.917307806, -79.659183354, 321.493, 425490.614, 1802398.626, 424.901, 6.562,0.035,0.056,26-May-2008 6:42:21 PM, 0.006,1.705,0.902,1.447,4,10
29-30pos, POS, +34.917228962, -79.659017889, 321.931, 425461.592, 1802448.035, 425.342, 6.562,0.020,0.031,26-May-2008 6:43:03 PM, 0.004,1.701,0.902,1.442,4,10
25-26pos, POS, +34.917150318, -79.658932608, 321.920, 425432.801, 1802473.409, 425.331, 6.562,0.022,0.036,26-May-2008 6:43:32 PM, 0.004,1.201,0.637,1.018,4,10
21-22pos, POS, +34.917055725, -79.658832402, 321.226, 425398.177, 1802503.219, 424.639, 6.562,0.023,0.037,26-May-2008 6:44:01 PM, 0.003,1.199,0.637,1.016,4,10
15-18pos, POS, +34.917000740, -79.658723900, 321.253, 425377.951, 1802535.611, 424.668, 6.562,0.025,0.039,26-May-2008 6:44:28 PM, 0.003,1.693,0.901,1.433,5,10
15-17pos, POS, +34.916782892, -79.658867259, 320.999, 425298.956, 1802492.111, 424.414, 6.562,0.020,0.032,26-May-2008 6:45:03 PM, 0.004,1.690,0.900,1.430,4,10
15-19pos, POS, +34.917272523, -79.658545115, 321.361, 425476.504, 1802589.861, 424.777, 6.562,0.023,0.037,26-May-2008 6:46:04 PM, 0.003,1.684,0.900,1.423,4,10
21-23pos, POS, +34.917306963, -79.658614550, 321.306, 425489.176, 1802569.130, 424.720, 6.562,0.025,0.039,26-May-2008 6:46:33 PM, 0.006,1.681,0.899,1.420,4,10
25-27pos, POS, +34.917393373, -79.658701043, 322.041, 425520.794, 1802543.411, 425.454, 6.562,0.021,0.034,26-May-2008 6:47:26 PM, 0.005,1.675,0.899,1.414,5,10
29-31pos, POS, +34.917447011, -79.658751019, 321.968, 425540.414, 1802528.560, 425.380, 6.562,0.022,0.034,26-May-2008 6:47:55 PM, 0.006,1.672,0.899,1.410,5,10
1520POS, POS, +34.917536655, -79.658348253, 320.660, 425572.237, 1802649.510, 424.076, 6.562,0.030,0.042,26-May-2008 6:50:29 PM, 0.003,1.861,1.067,1.526,5,9
21-24pos, POS, +34.917565778, -79.658409454, 321.611, 425582.957, 1802631.235, 425.026, 6.562,0.031,0.048,26-May-2008 6:52:00 PM, 0.004,1.647,0.896,1.381,4,10
25-28pos, POS, +34.917635854, -79.658469712, 322.085, 425608.579, 1802613.340, 425.499, 6.562,0.024,0.034,26-May-2008 6:52:56 PM, 0.003,1.868,1.072,1.530,5,9
25-32pos, POS, +34.917896849, -79.658267269, 321.424, 425703.159, 1802674.655, 424.839, 6.562,0.028,0.036,26-May-2008 6:54:18 PM, 0.004,1.721,1.054,1.361,4,10
1524POS, POS, +34.917804963, -79.658169768, 321.101, 425669.526, 1802703.660, 424.517, 6.562,0.038,0.054,26-May-2008 6:55:07 PM, 0.006,1.875,1.077,1.534,5,9
41-44pos, POS, +34.918002203, -79.658894320, 321.436, 425742.747, 1802486.944, 424.843, 6.562,0.028,0.040,26-May-2008 6:58:05 PM, 0.006,1.884,1.085,1.541,5,9
45-48pos, POS, +34.918043916, -79.658928041, 321.753, 425757.994, 1802476.937, 425.160, 6.562,0.028,0.036,26-May-2008 7:00:55 PM, 0.005,1.735,1.066,1.370,4,10
46-48pos, POS, +34.917877388, -79.659243767, 321.392, 425698.019, 1802381.893, 424.797, 6.562,0.031,0.052,26-May-2008 7:02:06 PM, 0.004,1.719,0.884,1.474,4,9
47-48pos, POS, +34.917714437, -79.659564139, 321.129, 425639.355, 1802285.464, 424.531, 6.562,0.036,0.046,26-May-2008 7:02:45 PM, 0.003,1.740,1.069,1.372,5,10
41-42pos, POS, +34.917562452, -79.659421138, 321.281, 425583.760, 1802327.962, 424.686, 6.562,0.031,0.047,26-May-2008 7:04:30 PM, 0.003,1.744,1.072,1.375,4,9
41-43pos, POS, +34.917783498, -79.659158673, 321.218, 425663.681, 1802407.173, 424.624, 6.562,0.037,0.064,26-May-2008 7:05:13 PM, 0.005,1.423,0.714,1.231,3,9
900001, CL, +34.912732452, -79.667694516, 320.592, 423842.584, 1799836.099, 423.938, 15.737,0.031,0.082,27-May-2008 8:49:32 AM, 0.001,,2.918,7.773,1,6
900002, CL, +34.912743390, -79.667661604, 320.765, 423846.498, 1799845.992, 424.111, 15.737,0.087,0.232,27-May-2008 8:49:33 AM, 0.001,,2.916,7.770,1,6
900003, CL, +34.912755477, -79.667622871, 320.438, 423850.819, 1799857.633, 423.785, 15.737,0.038,0.101,27-May-2008 8:49:34 AM, 0.003,,2.915,7.768,1,6
900004, CL, +34.912765547, -79.667590621, 320.569, 423854.419, 1799867.326, 423.916, 15.737,0.071,0.189,27-May-2008 8:49:35 AM, 0.001,,2.914,7.765,1,6
900005, CL, +34.912778466, -79.667550208, 320.570, 423859.039, 1799879.472, 423.917, 15.737,0.028,0.076,27-May-2008 8:49:36 AM, 0.002,,2.913,7.763,1,6
900006, CL, +34.912790537, -79.667512730, 320.642, 423863.356, 1799890.737, 423.990, 15.737,0.093,0.247,27-May-2008 8:49:37 AM, 0.001,,2.911,7.760,1,6
900007, CL, +34.912802661, -79.667474502, 320.773, 423867.691, 1799902.227, 424.121, 15.737,0.079,0.212,27-May-2008 8:49:38 AM, 0.003,,2.910,7.758,1,6
900008, CL, +34.912827447, -79.667398809, 321.117, 423876.559, 1799924.978, 424.466, 15.737,0.073,0.194,27-May-2008 8:49:40 AM, 0.005,,2.908,7.753,1,6
900009, CL, +34.912839895, -79.667360663, 320.828, 423881.012, 1799936.444, 424.177, 15.737,0.054,0.144,27-May-2008 8:49:41 AM, 0.003,,2.906,7.750,1,6
900010, CL, +34.912864214, -79.667284978, 320.735, 423889.710, 1799959.192, 424.085, 15.737,0.043,0.116,27-May-2008 8:49:43 AM, 0.004,,2.904,7.745,1,6
900011, CL, +34.912876285, -79.667247494, 320.519, 423894.027, 1799970.459, 423.870, 15.737,0.067,0.179,27-May-2008 8:49:44 AM, 0.002,,2.903,7.743,1,6
900012, CL, +34.912888560, -79.667210543, 320.481, 423898.420, 1799981.566, 423.832, 15.737,0.037,0.099,27-May-2008 8:49:45 AM, 0.002,,2.902,7.740,1,6
900013, CL, +34.912900362, -79.667173081, 320.344, 423902.639, 1799992.825, 423.695, 15.737,0.032,0.084,27-May-2008 8:49:46 AM, 0.001,,2.900,7.738,1,6
900014, CL, +34.912924591, -79.667099076, 320.272, 423911.308, 1800015.070, 423.624, 15.737,0.085,0.228,27-May-2008 8:49:48 AM, 0.005,,2.898,7.733,1,6
900015, CL, +34.912936179, -79.667062384, 320.526, 423915.451, 1800026.097, 423.878, 15.737,0.085,0.228,27-May-2008 8:49:49 AM, 0.003,,2.897,7.730,1,6
900016, CL, +34.912947629, -79.667025474, 320.310, 423919.544, 1800037.190, 423.662, 15.737,0.072,0.192,27-May-2008 8:49:50 AM, 0.003,,2.895,7.728,1,6
900017, CL, +34.912959508, -79.666988956, 320.312, 423923.793, 1800048.167, 423.664, 15.737,0.072,0.191,27-May-2008 8:49:51 AM, 0.003,,2.894,7.725,1,6
900018, CL, +34.912971578, -79.666952496, 320.405, 423928.112, 1800059.126, 423.758, 15.737,0.020,0.054,27-May-2008 8:49:52 AM, 0.003,,2.893,7.723,1,6
900019, CL, +34.912982822, -79.666915784, 320.424, 423932.130, 1800070.159, 423.777, 15.737,0.040,0.107,27-May-2008 8:49:53 AM, 0.001,,2.892,7.720,1,6
900020, CL, +34.912994371, -79.666879544, 320.482, 423936.260, 1800081.051, 423.835, 15.737,0.028,0.074,27-May-2008 8:49:54 AM, 0.001,,2.891,7.717,1,6
900021, CL, +34.913006505, -79.666843173, 320.358, 423940.603, 1800091.984, 423.711, 15.737,0.030,0.080,27-May-2008 8:49:55 AM, 0.001,,2.889,7.715,1,6
900022, CL, +34.913018638, -79.666806587, 320.304, 423944.945, 1800102.981, 423.658, 15.737,0.063,0.169,27-May-2008 8:49:56 AM, 0.001,,2.888,7.712,1,6
900023, CL, +34.913029938, -79.666769838, 320.393, 423948.983, 1800114.026, 423.748, 15.737,0.060,0.159,27-May-2008 8:49:57 AM, 0.002,,2.887,7.710,1,6
900024, CL, +34.913041770, -79.666732965, 320.413, 423953.215, 1800125.108, 423.767, 15.737,0.060,0.160,27-May-2008 8:49:58 AM, 0.002,,2.886,7.707,1,6
900025, CL, +34.913053736, -79.666696274, 320.303, 423957.496, 1800136.137, 423.657, 15.737,0.014,0.036,27-May-2008 8:49:59 AM, 0.002,,2.884,7.705,1,6
900026, CL, +34.913065598, -79.666659700, 320.343, 423961.739, 1800147.130, 423.698, 15.737,0.032,0.087,27-May-2008 8:50:00 AM, 0.000,,2.883,7.702,1,6
900027, CL, +34.913077331, -79.666622839, 320.424, 423965.935, 1800158.209, 423.779, 15.737,0.092,0.247,27-May-2008 8:50:01 AM, 0.001,,2.882,7.700,1,6
900028, CL, +34.913089381, -79.666586057, 320.462, 423970.246, 1800169.264, 423.818, 15.737,0.026,0.069,27-May-2008 8:50:02 AM, 0.003,,2.881,7.697,1,6
900029, CL, +34.913102771, -79.666545161, 320.207, 423975.036, 1800181.557, 423.563, 15.737,0.058,0.155,27-May-2008 8:50:04 AM, 0.001,,2.878,7.692,1,6
900030, CL, +34.913113380, -79.666511499, 320.182, 423978.830, 1800191.674, 423.539, 15.737,0.058,0.155,27-May-2008 8:50:04 AM, 0.002,,2.878,7.692,1,6
900031, CL, +34.913125605, -79.666473740, 320.209, 423983.202, 1800203.023, 423.566, 15.737,0.064,0.172,27-May-2008 8:50:05 AM, 0.002,,2.877,7.690,1,6
900032, CL, +34.913138223, -79.666436212, 320.166, 423987.719, 1800214.304, 423.523, 15.737,0.087,0.233,27-May-2008 8:50:06 AM, 0.002,,2.876,7.687,1,6
900033, CL, +34.913150030, -79.666398910, 320.284, 423991.941, 1800225.515, 423.641, 15.737,0.022,0.059,27-May-2008 8:50:07 AM, 0.003,,2.875,7.685,1,6
900034, CL, +34.913161724, -79.666361670, 320.307, 423996.122, 1800236.707, 423.664, 15.737,0.034,0.091,27-May-2008 8:50:08 AM, 0.001,,2.874,7.682,1,6
900035, CL, +34.913173792, -79.666324662, 320.176, 424000.439, 1800247.831, 423.534, 15.737,0.049,0.130,27-May-2008 8:50:09 AM, 0.001,,2.872,7.680,1,6
900036, CL, +34.913187177, -79.666284377, 320.290, 424005.229, 1800259.940, 423.648, 15.737,0.077,0.205,27-May-2008 8:50:11 AM, 0.002,,2.870,7.675,1,6
900037, CL, +34.913198764, -79.666247605, 320.474, 424009.372, 1800270.992, 423.832, 15.737,0.018,0.049,27-May-2008 8:50:12 AM, 0.003,,2.869,7.672,1,6
900038, CL, +34.913234000, -79.666138740, 320.367, 424021.976, 1800303.713, 423.727, 15.737,0.071,0.191,27-May-2008 8:50:15 AM, 0.005,,2.865,7.664,1,6
900039, CL, +34.913245674, -79.666102064, 320.232, 424026.150, 1800314.736, 423.591, 15.737,0.055,0.148,27-May-2008 8:50:16 AM, 0.003,,2.864,7.662,1,6
900040, CL, +34.913268930, -79.666029044, 320.281, 424034.467, 1800336.683, 423.642, 15.737,0.012,0.031,27-May-2008 8:50:18 AM, 0.004,,2.861,7.657,1,6
900041, CL, +34.913280573, -79.665992240, 320.233, 424038.630, 1800347.744, 423.594, 15.737,0.022,0.059,27-May-2008 8:50:19 AM, 0.000,,2.860,7.654,1,6
900042, CL, +34.913292707, -79.665955279, 320.418, 424042.972, 1800358.854, 423.779, 15.737,0.050,0.133,27-May-2008 8:50:20 AM, 0.001,,2.859,7.652,1,6
900043, CL, +34.913304578, -79.665918135, 320.299, 424047.217, 1800370.018, 423.660, 15.737,0.068,0.183,27-May-2008 8:50:21 AM, 0.002,,2.858,7.649,1,6
900044, CL, +34.913316319, -79.665881021, 320.315, 424051.415, 1800381.173, 423.676, 15.737,0.086,0.230,27-May-2008 8:50:22 AM, 0.002,,2.857,7.647,1,6
900045, CL, +34.913328423, -79.665844657, 320.532, 424055.747, 1800392.103, 423.894, 15.737,0.023,0.062,27-May-2008 8:50:23 AM, 0.003,,2.855,7.644,1,6
900046, CL, +34.913351429, -79.665771702, 320.261, 424063.973, 1800414.030, 423.624, 15.737,0.077,0.205,27-May-2008 8:50:25 AM, 0.006,,2.853,7.639,1,6
900047, CL, +34.913363153, -79.665736316, 320.386, 424068.168, 1800424.666, 423.749, 15.737,0.076,0.204,27-May-2008 8:50:26 AM, 0.003,,2.852,7.636,1,6
900048, CL, +34.913385114, -79.665666826, 320.425, 424076.021, 1800445.551, 423.788, 15.737,0.089,0.238,27-May-2008 8:50:28 AM, 0.004,,2.849,7.631,1,6
900049, CL, +34.913408121, -79.665593777, 320.462, 424084.247, 1800467.506, 423.826, 15.737,0.100,0.267,27-May-2008 8:50:31 AM, 0.004,,2.846,7.624,1,6
900050, CL, +34.913421183, -79.665553034, 320.590, 424088.919, 1800479.751, 423.954, 15.737,0.015,0.042,27-May-2008 8:51:02 AM, 0.003,,2.808,7.544,1,6
900051, CL, +34.913435005, -79.665511124, 320.693, 424093.864, 1800492.349, 424.057, 15.737,0.054,0.146,27-May-2008 8:51:04 AM, 0.002,,2.806,7.539,1,6
900052, CL, +34.913452151, -79.665455600, 320.715, 424099.993, 1800509.035, 424.081, 15.737,0.052,0.141,27-May-2008 8:51:06 AM, 0.001,,2.804,7.534,1,6
900053, CL, +34.913462113, -79.665424471, 320.770, 424103.556, 1800518.391, 424.136, 15.737,0.066,0.176,27-May-2008 8:51:07 AM, 0.002,,2.802,7.532,1,6
900054, CL, +34.913472614, -79.665391721, 320.680, 424107.312, 1800528.235, 424.046, 15.737,0.079,0.212,27-May-2008 8:51:08 AM, 0.002,,2.801,7.529,1,6
900055, CL, +34.913483369, -79.665357961, 320.542, 424111.158, 1800538.381, 423.908, 15.737,0.043,0.114,27-May-2008 8:51:09 AM, 0.003,,2.800,7.527,1,6
900056, CL, +34.913494193, -79.665323395, 320.577, 424115.027, 1800548.770, 423.943, 15.737,0.065,0.174,27-May-2008 8:51:10 AM, 0.002,,2.799,7.524,1,6
900057, CL, +34.913505307, -79.665288259, 320.577, 424119.001, 1800559.330, 423.944, 15.737,0.036,0.097,27-May-2008 8:51:11 AM, 0.002,,2.798,7.521,1,6
900058, CL, +34.913516649, -79.665252453, 320.696, 424123.057, 1800570.091, 424.063, 15.737,0.035,0.095,27-May-2008 8:51:12 AM, 0.001,,2.796,7.519,1,6
900059, CL, +34.913528461, -79.665216243, 320.786, 424127.283, 1800580.975, 424.154, 15.737,0.051,0.138,27-May-2008 8:51:13 AM, 0.001,,2.795,7.516,1,6
900060, CL, +34.913540398, -79.665179455, 320.756, 424131.553, 1800592.032, 424.123, 15.737,0.053,0.143,27-May-2008 8:51:14 AM, 0.002,,2.794,7.514,1,6
900061, CL, +34.913581080, -79.665053434, 320.833, 424146.105, 1800629.910, 424.202, 15.737,0.019,0.052,27-May-2008 8:51:17 AM, 0.005,,2.791,7.506,1,6
900062, CL, +34.913592711, -79.665016351, 320.816, 424150.263, 1800641.055, 424.185, 15.737,0.069,0.185,27-May-2008 8:51:18 AM, 0.001,,2.789,7.503,1,6
900063, CL, +34.913604407, -79.664979879, 320.912, 424154.447, 1800652.017, 424.282, 15.737,0.019,0.051,27-May-2008 8:51:19 AM, 0.002,,2.788,7.501,1,6
900064, CL, +34.913626821, -79.664910817, 320.869, 424162.465, 1800672.774, 424.239, 15.737,0.073,0.195,27-May-2008 8:51:21 AM, 0.005,,2.786,7.496,1,6
900065, CL, +34.913639576, -79.664871240, 321.023, 424167.028, 1800684.670, 424.394, 15.737,0.019,0.050,27-May-2008 8:51:22 AM, 0.003,,2.785,7.493,1,6
900066, CL, +34.913651272, -79.664834924, 320.782, 424171.211, 1800695.585, 424.153, 15.737,0.038,0.102,27-May-2008 8:51:23 AM, 0.001,,2.783,7.491,1,6
900067, CL, +34.913662816, -79.664798987, 321.034, 424175.340, 1800706.386, 424.405, 15.737,0.052,0.141,27-May-2008 8:51:24 AM, 0.001,,2.782,7.488,1,6
900068, CL, +34.913685826, -79.664726872, 320.955, 424183.569, 1800728.060, 424.327, 15.737,0.047,0.127,27-May-2008 8:51:26 AM, 0.004,,2.780,7.483,1,6
900069, CL, +34.913697117, -79.664690395, 320.875, 424187.605, 1800739.023, 424.247, 15.737,0.038,0.102,27-May-2008 8:51:27 AM, 0.002,,2.779,7.480,1,6
900070, CL, +34.913708507, -79.664654038, 320.914, 424191.677, 1800749.949, 424.286, 15.737,0.052,0.141,27-May-2008 8:51:28 AM, 0.001,,2.777,7.478,1,6
900071, CL, +34.913720612, -79.664618042, 320.937, 424196.010, 1800760.770, 424.310, 15.737,0.031,0.084,27-May-2008 8:51:29 AM, 0.002,,2.776,7.475,1,6
900072, CL, +34.913732210, -79.664581826, 320.898, 424200.158, 1800771.655, 424.271, 15.737,0.067,0.180,27-May-2008 8:51:30 AM, 0.001,,2.775,7.473,1,6
900073, CL, +34.913743691, -79.664545595, 321.050, 424204.264, 1800782.544, 424.423, 15.737,0.026,0.069,27-May-2008 8:51:31 AM, 0.002,,2.774,7.470,1,6
900074, CL, +34.913755192, -79.664508707, 320.980, 424208.375, 1800793.630, 424.354, 15.737,0.069,0.187,27-May-2008 8:51:32 AM, 0.001,,2.773,7.467,1,6
900075, CL, +34.913767304, -79.664472262, 320.971, 424212.710, 1800804.585, 424.345, 15.737,0.039,0.104,27-May-2008 8:51:33 AM, 0.003,,2.772,7.465,1,6
900076, CL, +34.913790626, -79.664399026, 320.761, 424221.050, 1800826.596, 424.135, 15.737,0.092,0.247,27-May-2008 8:51:35 AM, 0.004,,2.769,7.460,1,6
900077, CL, +34.913802196, -79.664363021, 320.948, 424225.189, 1800837.418, 424.323, 15.737,0.093,0.251,27-May-2008 8:51:36 AM, 0.003,,2.768,7.457,1,6
900078, CL, +34.913813801, -79.664326736, 320.951, 424229.339, 1800848.323, 424.326, 15.737,0.082,0.220,27-May-2008 8:51:37 AM, 0.003,,2.767,7.454,1,6
900079, CL, +34.913825490, -79.664290458, 321.073, 424233.521, 1800859.227, 424.448, 15.737,0.090,0.242,27-May-2008 8:51:38 AM, 0.003,,2.766,7.452,1,6
900080, CL, +34.913837681, -79.664254368, 321.217, 424237.885, 1800870.075, 424.592, 15.737,0.054,0.146,27-May-2008 8:51:39 AM, 0.003,,2.765,7.449,1,6
900081, CL, +34.913849343, -79.664217488, 321.039, 424242.055, 1800881.159, 424.415, 15.737,0.050,0.134,27-May-2008 8:51:40 AM, 0.002,,2.763,7.447,1,6
