OPUS_472,426095.398,1802677.668,464.944,
,-0.003,0.006,-0.067,
OPUS_491,426095.376,1802677.685,465.107,
,-0.025,0.023,0.096,
OPUS_480,426095.410,1802677.686,465.105,
,0.009,0.024,0.094,
OPUS_481,426095.410,1802677.667,464.917,
,0.009,0.005,-0.094,
OPUS_473,426095.409,1802677.605,464.984,
,0.008,-0.057,-0.027,0.0640
mean,426095.401,1802677.662,465.011,
delta CP1,0.019,-0.015,-0.070,0.0735
,,,,
"EB1559
ROCKINGHAM RESET",422425.719,1795001.001,286.085,
Obs,422425.652,1795001.045,286.333,
"delta , pub/obs",0.067,-0.044,-0.248,0.2606
,,,,
,,,,
CP1,426095.382,1802677.677,465.081,
CP1 Adj per OPUS,426095.401,1802677.662,465.011,
CP1 Adj per EB1559,426095.449,1802677.633,464.833,
delta OPUS/EB1559,-0.048,0.029,0.178,0.1871
