name, fCode, lati,long,ellHt,northing,easting,elev,antHt, horizPrec , vertPrec ,startTime,RMS,,,,NumPos,minSVs
AB, TOPO,34.91721661,-79.66387239,325.338,425466.792,1800992.808,428.698,6.562,0.029,0.046,5/26/08 11:12,0.004,,,,6,7
AC, TOPO,34.91720483,-79.6638638,325.291,425462.488,1800995.352,428.651,6.562,0.04,0.063,5/26/08 11:13,0.007,,,,5,7
A1, TRIG,34.91721138,-79.66386678,324.701,425464.878,1800994.474,428.06,6.562,0.023,0.034,5/26/08 11:18,0.004,,,,196,6
A2, TRIG,34.91750025,-79.6631564,324.567,425568.581,1801208.123,427.932,6.562,0.034,0.051,5/26/08 11:25,0.005,,,,192,6
B1, TRIG,34.91734973,-79.66350805,325.105,425514.509,1801102.346,428.467,6.562,0.009,0.037,5/26/08 11:42,0,,,,183,5
B2, TRIG,34.91736206,-79.66351523,325.136,425519.009,1801100.225,428.499,6.562,0.026,0.047,5/26/08 11:47,0.002,,,,182,5
D, Cal,34.9173549,-79.66351419,340.859,425516.403,1801100.519,444.221,0,0.032,0.055,5/26/08 13:24,0.002,,,,185,8
D2, CL,34.91735492,-79.66351409,340.856,425516.41,1801100.549,444.218,0,0.022,0.039,5/26/08 13:28,0.005,,,,181,8
main1, RET,34.91920751,-79.65670368,334.402,426177.037,1803146.513,437.826,6.562,0.02,0.032,5/26/08 15:13,0.002,,,,4,7
main2, RET,34.91919665,-79.65669352,334.417,426173.062,1803149.531,437.841,6.562,0.019,0.03,5/26/08 15:13,0.002,,,,4,7
main3, RET,34.91903011,-79.6569839,330.432,426113.03,1803062.087,433.853,6.562,0.023,0.036,5/26/08 15:14,0.002,,,,5,8
main4, RET,34.91901933,-79.65697384,330.421,426109.087,1803065.076,433.843,6.562,0.019,0.031,5/26/08 15:14,0.002,,,,5,8
entr1-80xpos, POS,34.91900983,-79.65701649,329.96,426105.717,1803052.27,433.382,6.562,0.027,0.043,5/26/08 15:17,0.002,,,,4,8
41-80pos, POS,34.91877401,-79.65747291,327.355,426020.802,1802914.888,430.773,6.562,0.021,0.035,5/26/08 15:21,0.003,,,,5,7
w2, WD,34.9187732,-79.65747514,327.331,426020.51,1802914.217,430.749,6.562,0.021,0.034,5/26/08 15:22,0.003,,,,4,8
g17-40epos, POS,34.91852863,-79.65759412,326.663,425931.741,1802877.962,430.081,6.562,0.02,0.034,5/26/08 15:41,0.002,,,,4,7
w3, WD,34.91852315,-79.65759898,326.499,425929.756,1802876.492,429.917,6.562,0.029,0.049,5/26/08 15:44,0.005,,,,4,7
w4, WD,34.9185189,-79.65760332,326.5,425928.22,1802875.181,429.918,6.562,0.031,0.052,5/26/08 15:44,0.005,,,,4,7
g17-40expos, POS,34.91833362,-79.65779622,325.534,425861.173,1802816.909,428.951,6.562,0.024,0.04,5/26/08 15:45,0.004,,,,6,7
65-74pos, POS,34.91856254,-79.65877858,321.002,425946.437,1802522.991,424.407,6.562,0.027,0.044,5/26/08 16:41,0.004,,,,5,8
69-74pos, POS,34.91850231,-79.65914802,320.687,425925.251,1802412.103,424.089,6.562,0.042,0.071,5/26/08 16:42,0.009,,,,5,8
65-68pos, POS,34.91848774,-79.6591447,320.64,425919.945,1802413.063,424.042,6.562,0.028,0.05,5/26/08 16:42,0.006,,,,5,7
66-68pos, POS,34.91840453,-79.65950548,320.516,425890.381,1802304.715,423.915,6.562,0.035,0.06,5/26/08 16:43,0.005,,,,4,8
70-74pos, POS,34.91847035,-79.65952112,320.687,425914.363,1802300.187,424.086,6.562,0.034,0.059,5/26/08 16:44,0.007,,,,4,8
71-74pos, POS,34.91842452,-79.65989236,320.447,425898.426,1802188.794,423.841,6.562,0.036,0.061,5/26/08 16:45,0.004,,,,4,8
67-68pos, POS,34.91832069,-79.65986745,320.417,425860.591,1802196.011,423.812,6.562,0.026,0.045,5/26/08 16:45,0.003,,,,4,7
72-74pos, POS,34.91838662,-79.66019153,320.207,425885.23,1802099.023,423.599,6.562,0.02,0.034,5/26/08 16:46,0.002,,,,4,8
57-64pos, POS,34.91836099,-79.6587051,322.02,425872.941,1802544.532,425.427,6.562,0.018,0.031,5/26/08 16:49,0.004,,,,3,8
EB1559-GPSobs, TRIG,34.90874871,-79.68378993,286.333,422425.652,1795001.045,389.537,6.562,0.039,0.069,5/26/08 17:10,0.01,,,,222,7
61-64pos, POS,34.9183022,-79.65907331,321.74,425852.281,1802434.015,425.144,6.562,0.027,0.062,5/26/08 17:35,0.001,,,,4,7
57-60pos, POS,34.91826152,-79.65905894,321.71,425837.445,1802438.224,425.115,6.562,0.028,0.051,5/26/08 17:37,0.002,,,,4,8
58-60pos, POS,34.91816526,-79.65941588,321.382,425803.126,1802330.996,424.783,6.562,0.019,0.035,5/26/08 17:38,0.003,,,,5,8
52-64pos, POS,34.91822988,-79.65943865,321.421,425826.686,1802324.327,424.822,6.562,0.022,0.041,5/26/08 17:38,0.004,,,,5,8
63-64pos, POS,34.91815733,-79.65980432,321.209,425801.012,1802214.54,424.606,6.562,0.032,0.06,5/26/08 17:39,0.007,,,,5,8
59-60pos, POS,34.91805632,-79.65976637,321.244,425764.177,1802225.669,424.642,6.562,0.026,0.05,5/26/08 17:39,0.002,,,,6,8
53-56pos, POS,34.91819673,-79.65899054,321.931,425813.731,1802458.572,425.336,6.562,0.018,0.031,5/26/08 17:45,0.003,,,,4,9
49-52pos, POS,34.91816535,-79.65895437,321.949,425802.238,1802469.339,425.355,6.562,0.018,0.031,5/26/08 17:45,0.002,,,,4,9
50-52pos, POS,34.91802097,-79.65928613,321.762,425750.356,1802369.542,425.165,6.562,0.022,0.039,5/26/08 17:46,0.002,,,,5,9
54-56pos, POS,34.91807444,-79.65933638,321.739,425769.914,1802354.607,425.141,6.562,0.018,0.032,5/26/08 17:47,0.002,,,,5,9
55-56pos, POS,34.91795281,-79.65968119,321.625,425726.337,1802250.953,425.024,6.562,0.022,0.04,5/26/08 17:47,0.003,,,,5,9
51-52pos, POS,34.91786468,-79.65961004,321.705,425694.124,1802272.067,425.106,6.562,0.019,0.034,5/26/08 17:48,0.002,,,,5,9
41-48pos, POS,34.91821238,-79.65861093,322.339,425818.67,1802572.401,425.749,6.562,0.029,0.047,5/26/08 18:36,0.005,,,,4,10
33-40pos, POS,34.91793502,-79.65835093,322.138,425717.217,1802649.669,425.552,6.562,0.02,0.033,5/26/08 18:38,0.004,,,,3,10
37-40pos, POS,34.91776382,-79.65866423,321.87,425655.535,1802555.341,425.281,6.562,0.022,0.036,5/26/08 18:39,0.004,,,,5,10
33-36pos, POS,34.91772903,-79.65863412,321.936,425642.816,1802564.282,425.348,6.562,0.02,0.033,5/26/08 18:39,0.002,,,,4,10
33-35pos, POS,34.91752,-79.65891049,321.711,425567.295,1802480.932,425.121,6.562,0.028,0.045,5/26/08 18:40,0.004,,,,5,10
38-40pos, POS,34.91760922,-79.65898869,321.643,425599.92,1802457.706,425.051,6.562,0.029,0.046,5/26/08 18:41,0.005,,,,4,10
39-40pos, POS,34.9174586,-79.65931666,321.401,425545.756,1802359.029,424.807,6.562,0.03,0.048,5/26/08 18:41,0.007,,,,4,10
33-34pos, POS,34.91730781,-79.65918335,321.493,425490.614,1802398.626,424.901,6.562,0.035,0.056,5/26/08 18:42,0.006,,,,4,10
29-30pos, POS,34.91722896,-79.65901789,321.931,425461.592,1802448.035,425.342,6.562,0.02,0.031,5/26/08 18:43,0.004,,,,4,10
25-26pos, POS,34.91715032,-79.65893261,321.92,425432.801,1802473.409,425.331,6.562,0.022,0.036,5/26/08 18:43,0.004,,,,4,10
21-22pos, POS,34.91705573,-79.6588324,321.226,425398.177,1802503.219,424.639,6.562,0.023,0.037,5/26/08 18:44,0.003,,,,4,10
15-18pos, POS,34.91700074,-79.6587239,321.253,425377.951,1802535.611,424.668,6.562,0.025,0.039,5/26/08 18:44,0.003,,,,5,10
15-17pos, POS,34.91678289,-79.65886726,320.999,425298.956,1802492.111,424.414,6.562,0.02,0.032,5/26/08 18:45,0.004,,,,4,10
15-19pos, POS,34.91727252,-79.65854512,321.361,425476.504,1802589.861,424.777,6.562,0.023,0.037,5/26/08 18:46,0.003,,,,4,10
21-23pos, POS,34.91730696,-79.65861455,321.306,425489.176,1802569.13,424.72,6.562,0.025,0.039,5/26/08 18:46,0.006,,,,4,10
25-27pos, POS,34.91739337,-79.65870104,322.041,425520.794,1802543.411,425.454,6.562,0.021,0.034,5/26/08 18:47,0.005,,,,5,10
29-31pos, POS,34.91744701,-79.65875102,321.968,425540.414,1802528.56,425.38,6.562,0.022,0.034,5/26/08 18:47,0.006,,,,5,10
1520POS, POS,34.91753666,-79.65834825,320.66,425572.237,1802649.51,424.076,6.562,0.03,0.042,5/26/08 18:50,0.003,,,,5,9
21-24pos, POS,34.91756578,-79.65840945,321.611,425582.957,1802631.235,425.026,6.562,0.031,0.048,5/26/08 18:52,0.004,,,,4,10
25-28pos, POS,34.91763585,-79.65846971,322.085,425608.579,1802613.34,425.499,6.562,0.024,0.034,5/26/08 18:52,0.003,,,,5,9
25-32pos, POS,34.91789685,-79.65826727,321.424,425703.159,1802674.655,424.839,6.562,0.028,0.036,5/26/08 18:54,0.004,,,,4,10
1524POS, POS,34.91780496,-79.65816977,321.101,425669.526,1802703.66,424.517,6.562,0.038,0.054,5/26/08 18:55,0.006,,,,5,9
41-44pos, POS,34.9180022,-79.65889432,321.436,425742.747,1802486.944,424.843,6.562,0.028,0.04,5/26/08 18:58,0.006,,,,5,9
45-48pos, POS,34.91804392,-79.65892804,321.753,425757.994,1802476.937,425.16,6.562,0.028,0.036,5/26/08 19:00,0.005,,,,4,10
46-48pos, POS,34.91787739,-79.65924377,321.392,425698.019,1802381.893,424.797,6.562,0.031,0.052,5/26/08 19:02,0.004,,,,4,9
47-48pos, POS,34.91771444,-79.65956414,321.129,425639.355,1802285.464,424.531,6.562,0.036,0.046,5/26/08 19:02,0.003,,,,5,10
41-42pos, POS,34.91756245,-79.65942114,321.281,425583.76,1802327.962,424.686,6.562,0.031,0.047,5/26/08 19:04,0.003,,,,4,9
41-43pos, POS,34.9177835,-79.65915867,321.218,425663.681,1802407.173,424.624,6.562,0.037,0.064,5/26/08 19:05,0.005,,,,3,9
900001, CL,34.91273245,-79.66769452,320.592,423842.584,1799836.099,423.938,15.737,0.031,0.082,5/27/08 8:49,0.001,,,,1,6
900002, CL,34.91274339,-79.6676616,320.765,423846.498,1799845.992,424.111,15.737,0.087,0.232,5/27/08 8:49,0.001,,,,1,6
900003, CL,34.91275548,-79.66762287,320.438,423850.819,1799857.633,423.785,15.737,0.038,0.101,5/27/08 8:49,0.003,,,,1,6
900004, CL,34.91276555,-79.66759062,320.569,423854.419,1799867.326,423.916,15.737,0.071,0.189,5/27/08 8:49,0.001,,,,1,6
900005, CL,34.91277847,-79.66755021,320.57,423859.039,1799879.472,423.917,15.737,0.028,0.076,5/27/08 8:49,0.002,,,,1,6
900006, CL,34.91279054,-79.66751273,320.642,423863.356,1799890.737,423.99,15.737,0.093,0.247,5/27/08 8:49,0.001,,,,1,6
900007, CL,34.91280266,-79.6674745,320.773,423867.691,1799902.227,424.121,15.737,0.079,0.212,5/27/08 8:49,0.003,,,,1,6
900008, CL,34.91282745,-79.66739881,321.117,423876.559,1799924.978,424.466,15.737,0.073,0.194,5/27/08 8:49,0.005,,,,1,6
900009, CL,34.9128399,-79.66736066,320.828,423881.012,1799936.444,424.177,15.737,0.054,0.144,5/27/08 8:49,0.003,,,,1,6
900010, CL,34.91286421,-79.66728498,320.735,423889.71,1799959.192,424.085,15.737,0.043,0.116,5/27/08 8:49,0.004,,,,1,6
900011, CL,34.91287629,-79.66724749,320.519,423894.027,1799970.459,423.87,15.737,0.067,0.179,5/27/08 8:49,0.002,,,,1,6
900012, CL,34.91288856,-79.66721054,320.481,423898.42,1799981.566,423.832,15.737,0.037,0.099,5/27/08 8:49,0.002,,,,1,6
900013, CL,34.91290036,-79.66717308,320.344,423902.639,1799992.825,423.695,15.737,0.032,0.084,5/27/08 8:49,0.001,,,,1,6
900014, CL,34.91292459,-79.66709908,320.272,423911.308,1800015.07,423.624,15.737,0.085,0.228,5/27/08 8:49,0.005,,,,1,6
900015, CL,34.91293618,-79.66706238,320.526,423915.451,1800026.097,423.878,15.737,0.085,0.228,5/27/08 8:49,0.003,,,,1,6
900016, CL,34.91294763,-79.66702547,320.31,423919.544,1800037.19,423.662,15.737,0.072,0.192,5/27/08 8:49,0.003,,,,1,6
900017, CL,34.91295951,-79.66698896,320.312,423923.793,1800048.167,423.664,15.737,0.072,0.191,5/27/08 8:49,0.003,,,,1,6
900018, CL,34.91297158,-79.6669525,320.405,423928.112,1800059.126,423.758,15.737,0.02,0.054,5/27/08 8:49,0.003,,,,1,6
900019, CL,34.91298282,-79.66691578,320.424,423932.13,1800070.159,423.777,15.737,0.04,0.107,5/27/08 8:49,0.001,,,,1,6
900020, CL,34.91299437,-79.66687954,320.482,423936.26,1800081.051,423.835,15.737,0.028,0.074,5/27/08 8:49,0.001,,,,1,6
900021, CL,34.91300651,-79.66684317,320.358,423940.603,1800091.984,423.711,15.737,0.03,0.08,5/27/08 8:49,0.001,,,,1,6
900022, CL,34.91301864,-79.66680659,320.304,423944.945,1800102.981,423.658,15.737,0.063,0.169,5/27/08 8:49,0.001,,,,1,6
900023, CL,34.91302994,-79.66676984,320.393,423948.983,1800114.026,423.748,15.737,0.06,0.159,5/27/08 8:49,0.002,,,,1,6
900024, CL,34.91304177,-79.66673297,320.413,423953.215,1800125.108,423.767,15.737,0.06,0.16,5/27/08 8:49,0.002,,,,1,6
900025, CL,34.91305374,-79.66669627,320.303,423957.496,1800136.137,423.657,15.737,0.014,0.036,5/27/08 8:49,0.002,,,,1,6
900026, CL,34.9130656,-79.6666597,320.343,423961.739,1800147.13,423.698,15.737,0.032,0.087,5/27/08 8:50,0,,,,1,6
900027, CL,34.91307733,-79.66662284,320.424,423965.935,1800158.209,423.779,15.737,0.092,0.247,5/27/08 8:50,0.001,,,,1,6
900028, CL,34.91308938,-79.66658606,320.462,423970.246,1800169.264,423.818,15.737,0.026,0.069,5/27/08 8:50,0.003,,,,1,6
900029, CL,34.91310277,-79.66654516,320.207,423975.036,1800181.557,423.563,15.737,0.058,0.155,5/27/08 8:50,0.001,,,,1,6
900030, CL,34.91311338,-79.6665115,320.182,423978.83,1800191.674,423.539,15.737,0.058,0.155,5/27/08 8:50,0.002,,,,1,6
900031, CL,34.91312561,-79.66647374,320.209,423983.202,1800203.023,423.566,15.737,0.064,0.172,5/27/08 8:50,0.002,,,,1,6
900032, CL,34.91313822,-79.66643621,320.166,423987.719,1800214.304,423.523,15.737,0.087,0.233,5/27/08 8:50,0.002,,,,1,6
900033, CL,34.91315003,-79.66639891,320.284,423991.941,1800225.515,423.641,15.737,0.022,0.059,5/27/08 8:50,0.003,,,,1,6
900034, CL,34.91316172,-79.66636167,320.307,423996.122,1800236.707,423.664,15.737,0.034,0.091,5/27/08 8:50,0.001,,,,1,6
900035, CL,34.91317379,-79.66632466,320.176,424000.439,1800247.831,423.534,15.737,0.049,0.13,5/27/08 8:50,0.001,,,,1,6
900036, CL,34.91318718,-79.66628438,320.29,424005.229,1800259.94,423.648,15.737,0.077,0.205,5/27/08 8:50,0.002,,,,1,6
900037, CL,34.91319876,-79.66624761,320.474,424009.372,1800270.992,423.832,15.737,0.018,0.049,5/27/08 8:50,0.003,,,,1,6
900038, CL,34.913234,-79.66613874,320.367,424021.976,1800303.713,423.727,15.737,0.071,0.191,5/27/08 8:50,0.005,,,,1,6
900039, CL,34.91324567,-79.66610206,320.232,424026.15,1800314.736,423.591,15.737,0.055,0.148,5/27/08 8:50,0.003,,,,1,6
900040, CL,34.91326893,-79.66602904,320.281,424034.467,1800336.683,423.642,15.737,0.012,0.031,5/27/08 8:50,0.004,,,,1,6
900041, CL,34.91328057,-79.66599224,320.233,424038.63,1800347.744,423.594,15.737,0.022,0.059,5/27/08 8:50,0,,,,1,6
900042, CL,34.91329271,-79.66595528,320.418,424042.972,1800358.854,423.779,15.737,0.05,0.133,5/27/08 8:50,0.001,,,,1,6
900043, CL,34.91330458,-79.66591814,320.299,424047.217,1800370.018,423.66,15.737,0.068,0.183,5/27/08 8:50,0.002,,,,1,6
900044, CL,34.91331632,-79.66588102,320.315,424051.415,1800381.173,423.676,15.737,0.086,0.23,5/27/08 8:50,0.002,,,,1,6
900045, CL,34.91332842,-79.66584466,320.532,424055.747,1800392.103,423.894,15.737,0.023,0.062,5/27/08 8:50,0.003,,,,1,6
900046, CL,34.91335143,-79.6657717,320.261,424063.973,1800414.03,423.624,15.737,0.077,0.205,5/27/08 8:50,0.006,,,,1,6
900047, CL,34.91336315,-79.66573632,320.386,424068.168,1800424.666,423.749,15.737,0.076,0.204,5/27/08 8:50,0.003,,,,1,6
900048, CL,34.91338511,-79.66566683,320.425,424076.021,1800445.551,423.788,15.737,0.089,0.238,5/27/08 8:50,0.004,,,,1,6
900049, CL,34.91340812,-79.66559378,320.462,424084.247,1800467.506,423.826,15.737,0.1,0.267,5/27/08 8:50,0.004,,,,1,6
900050, CL,34.91342118,-79.66555303,320.59,424088.919,1800479.751,423.954,15.737,0.015,0.042,5/27/08 8:51,0.003,,,,1,6
900051, CL,34.91343501,-79.66551112,320.693,424093.864,1800492.349,424.057,15.737,0.054,0.146,5/27/08 8:51,0.002,,,,1,6
900052, CL,34.91345215,-79.6654556,320.715,424099.993,1800509.035,424.081,15.737,0.052,0.141,5/27/08 8:51,0.001,,,,1,6
900053, CL,34.91346211,-79.66542447,320.77,424103.556,1800518.391,424.136,15.737,0.066,0.176,5/27/08 8:51,0.002,,,,1,6
900054, CL,34.91347261,-79.66539172,320.68,424107.312,1800528.235,424.046,15.737,0.079,0.212,5/27/08 8:51,0.002,,,,1,6
900055, CL,34.91348337,-79.66535796,320.542,424111.158,1800538.381,423.908,15.737,0.043,0.114,5/27/08 8:51,0.003,,,,1,6
900056, CL,34.91349419,-79.6653234,320.577,424115.027,1800548.77,423.943,15.737,0.065,0.174,5/27/08 8:51,0.002,,,,1,6
900057, CL,34.91350531,-79.66528826,320.577,424119.001,1800559.33,423.944,15.737,0.036,0.097,5/27/08 8:51,0.002,,,,1,6
900058, CL,34.91351665,-79.66525245,320.696,424123.057,1800570.091,424.063,15.737,0.035,0.095,5/27/08 8:51,0.001,,,,1,6
900059, CL,34.91352846,-79.66521624,320.786,424127.283,1800580.975,424.154,15.737,0.051,0.138,5/27/08 8:51,0.001,,,,1,6
900060, CL,34.9135404,-79.66517946,320.756,424131.553,1800592.032,424.123,15.737,0.053,0.143,5/27/08 8:51,0.002,,,,1,6
900061, CL,34.91358108,-79.66505343,320.833,424146.105,1800629.91,424.202,15.737,0.019,0.052,5/27/08 8:51,0.005,,,,1,6
900062, CL,34.91359271,-79.66501635,320.816,424150.263,1800641.055,424.185,15.737,0.069,0.185,5/27/08 8:51,0.001,,,,1,6
900063, CL,34.91360441,-79.66497988,320.912,424154.447,1800652.017,424.282,15.737,0.019,0.051,5/27/08 8:51,0.002,,,,1,6
900064, CL,34.91362682,-79.66491082,320.869,424162.465,1800672.774,424.239,15.737,0.073,0.195,5/27/08 8:51,0.005,,,,1,6
900065, CL,34.91363958,-79.66487124,321.023,424167.028,1800684.67,424.394,15.737,0.019,0.05,5/27/08 8:51,0.003,,,,1,6
900066, CL,34.91365127,-79.66483492,320.782,424171.211,1800695.585,424.153,15.737,0.038,0.102,5/27/08 8:51,0.001,,,,1,6
900067, CL,34.91366282,-79.66479899,321.034,424175.34,1800706.386,424.405,15.737,0.052,0.141,5/27/08 8:51,0.001,,,,1,6
900068, CL,34.91368583,-79.66472687,320.955,424183.569,1800728.06,424.327,15.737,0.047,0.127,5/27/08 8:51,0.004,,,,1,6
900069, CL,34.91369712,-79.6646904,320.875,424187.605,1800739.023,424.247,15.737,0.038,0.102,5/27/08 8:51,0.002,,,,1,6
900070, CL,34.91370851,-79.66465404,320.914,424191.677,1800749.949,424.286,15.737,0.052,0.141,5/27/08 8:51,0.001,,,,1,6
900071, CL,34.91372061,-79.66461804,320.937,424196.01,1800760.77,424.31,15.737,0.031,0.084,5/27/08 8:51,0.002,,,,1,6
900072, CL,34.91373221,-79.66458183,320.898,424200.158,1800771.655,424.271,15.737,0.067,0.18,5/27/08 8:51,0.001,,,,1,6
900073, CL,34.91374369,-79.6645456,321.05,424204.264,1800782.544,424.423,15.737,0.026,0.069,5/27/08 8:51,0.002,,,,1,6
900074, CL,34.91375519,-79.66450871,320.98,424208.375,1800793.63,424.354,15.737,0.069,0.187,5/27/08 8:51,0.001,,,,1,6
900075, CL,34.9137673,-79.66447226,320.971,424212.71,1800804.585,424.345,15.737,0.039,0.104,5/27/08 8:51,0.003,,,,1,6
900076, CL,34.91379063,-79.66439903,320.761,424221.05,1800826.596,424.135,15.737,0.092,0.247,5/27/08 8:51,0.004,,,,1,6
900077, CL,34.9138022,-79.66436302,320.948,424225.189,1800837.418,424.323,15.737,0.093,0.251,5/27/08 8:51,0.003,,,,1,6
900078, CL,34.9138138,-79.66432674,320.951,424229.339,1800848.323,424.326,15.737,0.082,0.22,5/27/08 8:51,0.003,,,,1,6
900079, CL,34.91382549,-79.66429046,321.073,424233.521,1800859.227,424.448,15.737,0.09,0.242,5/27/08 8:51,0.003,,,,1,6
900080, CL,34.91383768,-79.66425437,321.217,424237.885,1800870.075,424.592,15.737,0.054,0.146,5/27/08 8:51,0.003,,,,1,6
900081, CL,34.91384934,-79.66421749,321.039,424242.055,1800881.159,424.415,15.737,0.05,0.134,5/27/08 8:51,0.002,,,,1,6
900082, CL,34.91386093,-79.66418104,321.162,424246.197,1800892.115,424.538,15.737,0.019,0.051,5/27/08 8:51,0.002,,,,1,6
900083, CL,34.91387272,-79.66414466,321.079,424250.415,1800903.049,424.456,15.737,0.092,0.248,5/27/08 8:51,0.001,,,,1,6
900084, CL,34.91389615,-79.66407113,321.175,424258.797,1800925.148,424.552,15.737,0.066,0.178,5/27/08 8:51,0.009,,,,1,6
900085, CL,34.91390794,-79.66403411,321.128,424263.012,1800936.275,424.506,15.737,0.031,0.084,5/27/08 8:51,0.002,,,,1,6
900086, CL,34.91391975,-79.66399712,321.151,424267.234,1800947.392,424.529,15.737,0.066,0.179,5/27/08 8:51,0.001,,,,1,6
900087, CL,34.91393162,-79.6639605,321.076,424271.482,1800958.397,424.454,15.737,0.04,0.107,5/27/08 8:51,0.002,,,,1,6
900088, CL,34.91395482,-79.66388693,321.337,424279.778,1800980.509,424.716,15.737,0.017,0.045,5/27/08 8:51,0.004,,,,1,6
900089, CL,34.91396655,-79.66385035,321.274,424283.975,1800991.503,424.653,15.737,0.014,0.038,5/27/08 8:51,0.001,,,,1,6
900090, CL,34.91398976,-79.66377845,321.244,424292.274,1801013.115,424.624,15.737,0.017,0.045,5/27/08 8:51,0.005,,,,1,6
900091, CL,34.91400079,-79.66374229,321.299,424296.216,1801023.979,424.679,15.737,0.012,0.031,5/27/08 8:51,0.001,,,,1,6
900092, CL,34.91401309,-79.66370648,321.39,424300.622,1801034.745,424.771,15.737,0.046,0.123,5/27/08 8:51,0,,,,1,6
900093, CL,34.9140249,-79.66367014,321.243,424304.847,1801045.667,424.624,15.737,0.036,0.097,5/27/08 8:51,0.002,,,,1,6
900094, CL,34.91403632,-79.66363416,321.516,424308.93,1801056.48,424.897,15.737,0.047,0.127,5/27/08 8:51,0.001,,,,1,6
900095, CL,34.91404811,-79.66359756,321.316,424313.149,1801067.481,424.698,15.737,0.02,0.053,5/27/08 8:51,0.002,,,,1,6
900096, CL,34.91406008,-79.66356065,321.216,424317.429,1801078.577,424.598,15.737,0.02,0.053,5/27/08 8:51,0.001,,,,1,6
900097, CL,34.91407192,-79.66352359,321.352,424321.664,1801089.714,424.734,15.737,0.015,0.042,5/27/08 8:51,0.001,,,,1,6
900098, CL,34.91408372,-79.66348645,321.258,424325.883,1801100.876,424.64,15.737,0.048,0.129,5/27/08 8:52,0.001,,,,1,6
900099, CL,34.914095,-79.66344985,321.325,424329.918,1801111.876,424.708,15.737,0.013,0.035,5/27/08 8:52,0.002,,,,1,6
900100, CL,34.91410678,-79.66341385,321.422,424334.132,1801122.696,424.804,15.737,0.015,0.04,5/27/08 8:52,0,,,,1,6
900101, CL,34.91412995,-79.66334267,321.451,424342.419,1801144.092,424.834,15.737,0.079,0.212,5/27/08 8:52,0.004,,,,1,6
900102, CL,34.91414121,-79.66330713,321.249,424346.448,1801154.773,424.633,15.737,0.095,0.258,5/27/08 8:52,0.003,,,,1,6
900103, CL,34.91415242,-79.66327166,321.289,424350.454,1801165.434,424.673,15.737,0.012,0.032,5/27/08 8:52,0.004,,,,1,6
900104, CL,34.91416389,-79.66323636,321.249,424354.559,1801176.041,424.633,15.737,0.047,0.128,5/27/08 8:52,0,,,,1,6
900105, CL,34.91417574,-79.66320145,321.328,424358.801,1801186.536,424.713,15.737,0.051,0.137,5/27/08 8:52,0.002,,,,1,6
900106, CL,34.91418667,-79.66316614,321.321,424362.71,1801197.148,424.706,15.737,0.015,0.04,5/27/08 8:52,0.002,,,,1,6
900107, CL,34.9141976,-79.66313085,321.446,424366.616,1801207.754,424.831,15.737,0.012,0.032,5/27/08 8:52,0.001,,,,1,6
900108, CL,34.91420882,-79.66309604,321.405,424370.628,1801218.217,424.791,15.737,0.012,0.031,5/27/08 8:52,0,,,,1,6
900109, CL,34.91422021,-79.66306191,321.277,424374.705,1801228.474,424.663,15.737,0.051,0.139,5/27/08 8:52,0,,,,1,6
900110, CL,34.91423183,-79.66302781,321.337,424378.868,1801238.725,424.724,15.737,0.023,0.063,5/27/08 8:52,0.002,,,,1,6
900111, CL,34.91425246,-79.66295947,321.34,424386.236,1801259.263,424.727,15.737,0.034,0.092,5/27/08 8:52,0.004,,,,1,6
900112, CL,34.91426276,-79.66292785,321.439,424389.921,1801268.766,424.827,15.737,0.011,0.031,5/27/08 8:52,0.001,,,,1,6
900113, CL,34.91428236,-79.66287046,321.226,424396.942,1801286.019,424.614,15.737,0.031,0.084,5/27/08 8:52,0.001,,,,1,6
900114, CL,34.91429637,-79.66282323,321.201,424401.945,1801300.211,424.589,15.737,0.032,0.086,5/27/08 8:52,0,,,,1,6
900115, CL,34.91431716,-79.6627596,321.512,424409.382,1801319.335,424.901,15.737,0.062,0.167,5/27/08 8:52,0.005,,,,1,6
150001, CL,34.9143247,-79.66273737,321.102,424412.085,1801326.017,424.491,15.737,0.065,0.177,5/27/08 8:53,0.001,,,,1,6
150002, CL,34.91433668,-79.66270057,321.149,424416.369,1801337.077,424.538,15.737,0.058,0.156,5/27/08 8:53,0.005,,,,1,6
150003, CL,34.91435075,-79.66265457,321.341,424421.396,1801350.902,424.73,15.737,0.072,0.195,5/27/08 8:53,0.002,,,,1,6
150004, CL,34.91436934,-79.6625976,321.253,424428.049,1801368.024,424.643,15.737,0.017,0.047,5/27/08 8:53,0.006,,,,1,6
150005, CL,34.91438027,-79.66256578,321.33,424431.964,1801377.592,424.72,15.737,0.059,0.159,5/27/08 8:53,0.001,,,,1,6
150006, CL,34.91439126,-79.66253196,321.239,424435.894,1801387.754,424.629,15.737,0.044,0.12,5/27/08 8:53,0.002,,,,1,6
150007, CL,34.91440286,-79.66249738,321.34,424440.046,1801398.149,424.73,15.737,0.046,0.125,5/27/08 8:53,0.002,,,,1,6
150008, CL,34.91441638,-79.66246228,321.154,424444.895,1801408.706,424.545,15.737,0.039,0.105,5/27/08 8:53,0.002,,,,1,6
150009, CL,34.91443092,-79.66242684,321.059,424450.119,1801419.363,424.451,15.737,0.011,0.031,5/27/08 8:53,0.001,,,,1,6
150010, CL,34.91444606,-79.66239019,321.118,424455.554,1801430.387,424.51,15.737,0.019,0.051,5/27/08 8:53,0,,,,1,6
