brb2rusABCD,X:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
mp495_D,MP,+38.413020563,-82.292001989,476.270,13951521.918,1270347.267,581.077,6.995,09:17:47 3 Mar 2010,0.000,0.000,0.000,0.044,0.055,0.005,,,,6,9
mp496_D,MP,+38.425971919,-82.300712111,470.948,13956272.107,1267918.848,575.766,6.995,09:59:09 3 Mar 2010,0.000,0.001,0.000,0.051,0.075,0.005,,,,7,11
mp497_D,MP,+38.427928178,-82.317941551,468.696,13957054.403,1262994.667,573.486,6.995,10:03:12 3 Mar 2010,0.000,0.000,0.000,0.036,0.048,0.004,,,,7,10
mp498_D,MP,+38.423571278,-82.335387727,457.109,13955540.127,1257975.378,561.859,6.995,10:06:43 3 Mar 2010,0.000,0.000,0.000,0.030,0.041,0.003,,,,6,12
mp499_D,MP,+38.418745245,-82.352637662,456.018,13953855.174,1253009.183,560.720,6.995,10:12:59 3 Mar 2010,0.000,0.000,0.000,0.032,0.045,0.012,,,,4,13
mp500_D,MP,+38.417059362,-82.370938390,459.121,13953318.834,1247758.335,563.779,6.995,10:21:13 3 Mar 2010,0.000,0.000,0.000,0.020,0.028,0.003,,,,6,13
mp501_D,MP,+38.419667103,-82.388054185,458.816,13954341.582,1242870.178,563.446,6.995,10:25:55 3 Mar 2010,0.000,0.000,0.000,0.025,0.038,0.005,,,,7,14
mp502_D,MP,+38.422235576,-82.404498945,457.078,13955348.020,1238174.338,561.678,6.995,11:58:46 3 Mar 2010,0.000,0.000,0.000,0.014,0.024,0.003,,,,6,13
mp503b_D,MP,+38.419143955,-82.422288175,467.644,13954297.847,1233063.053,572.199,6.995,00:00:00 05 Feb 2010,0.000,0.000,0.000,0.000,0.000,0.000,,,,0,0
mp504_D,MP,+38.415868214,-82.440683012,462.472,13953189.809,1227774.655,566.979,6.995,12:06:53 3 Mar 2010,0.000,0.000,0.000,0.018,0.030,0.002,,,,7,12
mp505_D,MP,+38.412756458,-82.458455809,462.450,13952136.963,1222665.978,566.905,6.995,12:18:49 3 Mar 2010,0.000,0.000,0.000,0.017,0.025,0.002,,,,7,13
mp506_D,MP,+38.406405002,-82.475020567,454.910,13949900.085,1217884.043,559.298,6.995,12:21:17 3 Mar 2010,0.000,0.000,0.000,0.019,0.028,0.002,,,,6,14
mp507_D,MP,+38.400621532,-82.491531158,460.707,13947870.589,1213120.136,565.027,6.995,12:23:42 3 Mar 2010,0.000,0.000,0.000,0.022,0.033,0.003,,,,6,13
mp508_D,MP,+38.397620824,-82.509521937,457.166,13946861.991,1207947.950,561.427,6.995,12:25:56 3 Mar 2010,0.000,0.000,0.000,0.023,0.034,0.003,,,,6,13
mp509_D,MP,+38.396168814,-82.527747806,453.793,13946419.345,1202717.310,557.997,6.995,12:28:47 3 Mar 2010,0.000,0.000,0.000,0.041,0.053,0.004,,,,7,13
mp510_D,MP,+38.393689750,-82.545966477,452.228,13945603.775,1197482.246,556.371,6.995,12:31:36 3 Mar 2010,0.000,0.000,0.000,0.029,0.037,0.004,,,,6,13
mp511_D,MP,+38.393583389,-82.563944621,455.367,13945651.898,1192330.383,559.447,6.995,12:35:18 3 Mar 2010,0.000,0.000,0.000,0.027,0.044,0.003,,,,6,12
mp512_D,MP,+38.398833181,-82.581056541,460.618,13947646.793,1187460.122,564.646,6.995,12:48:26 3 Mar 2010,0.000,0.000,0.000,0.019,0.035,0.003,,,,6,15
mp513c_D,MP,+38.404229253,-82.598191067,470.427,13949693.241,1182586.099,571.262,6.995,11:01:25 14 Feb 2010,0.000,0.000,0.000,0.038,0.051,0.005,,,,0,0
mp514c_D,MP,+38.418348797,-82.599801363,449.501,13954841.792,1182213.973,557.631,6.995,00:00:00 14 Feb 2010,0.000,0.000,0.000,0.000,0.000,0.000,,,,0,0
mp515c_D,MP,+38.432203581,-82.604419281,447.814,13959908.954,1180979.071,555.957,6.995,00:00:00 14 Feb 2010,0.000,0.000,0.000,0.000,0.000,0.000,,,,0,0
mp516_D,MP,+38.445628853,-82.610937944,445.995,13964832.074,1179196.655,550.011,6.995,16:26:02 3 Mar 2010,0.000,0.000,0.000,0.035,0.054,0.006,,,,7,16
mp517_D,MP,+38.459368025,-82.612902093,447.431,13969844.023,1178721.864,551.472,6.995,16:32:24 3 Mar 2010,0.000,0.000,0.000,0.030,0.044,0.004,,,,5,14
mp518_D,MP,+38.472065143,-82.622260610,447.006,13974513.814,1176124.256,551.044,6.995,16:34:48 3 Mar 2010,0.000,0.000,0.000,0.033,0.051,0.005,,,,6,15
mp519_D,MP,+38.480934860,-82.638896981,445.407,13977827.419,1171420.106,549.409,6.995,16:38:50 3 Mar 2010,0.000,0.000,0.000,0.029,0.044,0.005,,,,6,15
mp520_D,MP,+38.488149364,-82.653749366,444.150,13980530.095,1167216.783,548.116,6.995,16:41:17 3 Mar 2010,0.000,0.000,0.000,0.027,0.041,0.005,,,,6,15
mp521_D,MP,+38.496200124,-82.669430347,443.952,13983542.234,1162782.749,547.880,6.995,16:45:32 3 Mar 2010,0.000,0.000,0.000,0.038,0.065,0.006,,,,6,9
mp522_D,MP,+38.507919001,-82.679541297,444.758,13987861.510,1159967.642,548.679,6.995,16:48:21 3 Mar 2010,0.000,0.000,0.000,0.039,0.055,0.005,,,,6,14
mp523_D,MP,+38.521046817,-82.685048373,449.671,13992669.933,1158479.745,553.609,6.995,16:51:19 3 Mar 2010,0.000,0.000,0.000,0.031,0.049,0.005,,,,6,13
