brb2rusABCD,Y:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1031_B,RCL,+38.410827535,-82.263570037,479.827,13950607.916,1278481.494,581.539,6.995,09:00:37 5 Feb 2010,0.000,0.000,0.000,0.047,0.057,0.005,,,,1,13
1032_B,RCL,+38.410813822,-82.263588463,479.830,13950602.996,1278476.147,581.542,6.995,09:00:37 5 Feb 2010,0.000,0.000,0.000,0.047,0.057,0.005,,,,1,13
1033_B,RCL,+38.410795430,-82.263613245,479.866,13950596.397,1278468.957,581.578,6.995,09:00:37 5 Feb 2010,0.000,0.000,0.000,0.047,0.057,0.005,,,,1,13
1034_B,RCL,+38.410781594,-82.263632021,479.881,13950591.434,1278463.509,581.592,6.995,09:00:38 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.005,,,,1,14
1035_B,RCL,+38.410767621,-82.263650920,479.889,13950586.421,1278458.026,581.600,6.995,09:00:38 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1036_B,RCL,+38.410748916,-82.263676237,479.880,13950579.710,1278450.680,581.591,6.995,09:00:38 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1037_B,RCL,+38.410734776,-82.263695278,479.881,13950574.638,1278445.156,581.593,6.995,09:00:39 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.004,,,,1,14
1038_B,RCL,+38.410720589,-82.263714448,479.900,13950569.548,1278439.594,581.611,6.995,09:00:39 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1039_B,RCL,+38.410711215,-82.263727328,479.912,13950566.186,1278435.857,581.624,6.995,09:00:39 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1040_B,RCL,+38.410701699,-82.263740178,479.872,13950562.772,1278432.129,581.583,6.995,09:00:39 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
