mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 495,+1,    0,27542,495.00113,    NaN,580.61400,    NaN,    NaN, 1.68309
 495,+1,   15,27542,495.00169,    NaN,580.55089,    NaN,    NaN, 1.58611
 495,+1,   31,27542,495.00225,    NaN,580.43294,    NaN,    NaN, 1.02780
 495,+1,   46,27542,495.00281,    NaN,580.37993,    NaN,    NaN, 1.43205
 495,+1,   62,27542,495.00338,    NaN,580.24479,    NaN,    NaN, 1.75364
 495,+1,   77,27542,495.00394,    NaN,580.12752,    NaN,    NaN, 2.23564
 495,+1,   93,27542,495.00450,    NaN,580.12107,    NaN,    NaN, 1.99730
 495,+1,  108,27542,495.00507,    NaN,580.06224,    NaN,    NaN, 1.68319
 495,+1,  124,27542,495.00563,    NaN,580.00072,    NaN,    NaN, 1.61520
 495,+1,  139,27542,495.00619,    NaN,579.92931,    NaN,    NaN, 1.69660
 495,+1,  155,27542,495.00675,    NaN,579.85417,    NaN,    NaN, 2.01161
 495,+1,  170,27542,495.00732,    NaN,579.85024,    NaN,    NaN, 2.51830
 495,+1,  186,27542,495.00788,    NaN,579.72379,    NaN,    NaN, 2.05850
 495,+1,  201,27542,495.00844,    NaN,579.50873,    NaN,    NaN, 2.05527
 495,+1,  217,27542,495.00900,    NaN,579.29956,    NaN,    NaN, 1.32059
 495,+1,  232,27542,495.00957,    NaN,578.06290,    NaN,    NaN, 0.85977
 495,+1,  248,27542,495.01013,    NaN,579.47994,    NaN,    NaN, 2.31411
 495,+1,  263,27542,495.01069,    NaN,579.60928,    NaN,    NaN, 3.01010
 495,+1,  279,27542,495.01125,    NaN,579.59238,    NaN,    NaN, 2.53772
 495,+1,  294,27542,495.01181,    NaN,579.58720,    NaN,    NaN, 2.14650
 495,+1,  310,27542,495.01238,    NaN,579.57178,    NaN,    NaN, 2.32206
 495,+1,  325,27542,495.01294,    NaN,579.55348,    NaN,    NaN, 2.12383
 495,+1,  341,27542,495.01350,    NaN,579.46597,    NaN,    NaN, 1.98626
 495,+1,  356,27542,495.01407,    NaN,579.35530,    NaN,    NaN, 1.99997
 495,+1,  372,27542,495.01463,    NaN,579.28585,    NaN,    NaN, 2.08710
 495,+1,  387,27542,495.01519,    NaN,579.24784,    NaN,    NaN, 2.43672
 495,+1,  403,27542,495.01575,    NaN,579.14301,    NaN,    NaN, 2.36333
 495,+1,  418,27542,495.01632,    NaN,578.96570,    NaN,    NaN, 2.30156
 495,+1,  434,27542,495.01688,    NaN,578.95421,    NaN,    NaN, 2.40324
 495,+1,  449,27542,495.01744,    NaN,578.95880,    NaN,    NaN, 2.18647
 495,+1,  465,27542,495.01801,    NaN,578.87934,    NaN,    NaN, 2.02420
 495,+1,  480,27542,495.01857,    NaN,578.78493,    NaN,    NaN, 2.56838
 495,+1,  496,27542,495.01913,    NaN,578.81677,    NaN,    NaN, 2.20416
 495,+1,  511,27542,495.01969,    NaN,578.80579,    NaN,    NaN, 1.66738
 495,+1,  527,27542,495.02026,    NaN,578.53455,    NaN,    NaN, 1.75768
 495,+1,  542,27542,495.02082,    NaN,578.63211,    NaN,    NaN, 1.99898
 495,+1,  558,27542,495.02138,    NaN,578.59657,    NaN,    NaN, 2.05740
 495,+1,  573,27542,495.02194,    NaN,578.56333,    NaN,    NaN, 1.92330
 495,+1,  589,27542,495.02251,    NaN,578.54797,    NaN,    NaN, 2.20332
 495,+1,  604,27542,495.02307,    NaN,578.46090,    NaN,    NaN, 2.68058
 495,+1,  620,27542,495.02363,    NaN,578.44566,    NaN,    NaN, 2.50305
 495,+1,  635,27542,495.02420,    NaN,578.34407,    NaN,    NaN, 2.16991
 495,+1,  651,27542,495.02476,    NaN,578.33846,    NaN,    NaN, 2.67684
 495,+1,  666,27542,495.02532,    NaN,578.18618,    NaN,    NaN, 2.26593
 495,+1,  682,27542,495.02588,    NaN,578.19717,    NaN,    NaN, 1.98375
 495,+1,  697,27542,495.02645,    NaN,578.01547,    NaN,    NaN, 2.53131
 495,+1,  713,27542,495.02701,    NaN,577.94415,    NaN,    NaN, 2.56428
 495,+1,  728,27542,495.02757,    NaN,577.84077,    NaN,    NaN, 1.68521
 495,+1,  744,27542,495.02814,    NaN,577.39408,    NaN,    NaN, 1.84850
 495,+1,  759,27542,495.02870,    NaN,577.35890,    NaN,    NaN, 2.19865
 495,+1,  775,27542,495.02926,    NaN,577.35700,    NaN,    NaN, 1.56311
 495,+1,  790,27542,495.02982,    NaN,577.23967,    NaN,    NaN, 1.73575
 495,+1,  806,27542,495.03039,    NaN,577.00168,    NaN,    NaN, 2.08568
 495,+1,  821,27542,495.03095,    NaN,576.76847,    NaN,    NaN, 1.65399
 495,+1,  837,27542,495.03151,    NaN,576.61546,    NaN,    NaN, 0.96669
 495,+1,  852,27542,495.03207,    NaN,576.32928,    NaN,    NaN, 1.26058
 495,+1,  868,27542,495.03264,    NaN,576.19404,    NaN,    NaN, 1.37972
 495,+1,  883,27542,495.03320,    NaN,575.96223,    NaN,    NaN, 0.71929
 495,+1,  899,27542,495.03376,    NaN,575.83510,    NaN,    NaN, 0.69900
 495,+1,  914,27542,495.03433,    NaN,575.74928,    NaN,    NaN, 0.82072
 495,+1,  930,27542,495.03489,    NaN,575.87674,    NaN,    NaN, 0.55112
 495,+1,  945,27542,495.03545,    NaN,575.47256,    NaN,    NaN, 0.76281
 495,+1,  961,27542,495.03601,    NaN,575.34150,    NaN,    NaN, 0.57420
 495,+1,  976,27542,495.03658,    NaN,575.34900,    NaN,    NaN,-0.08544
 495,+1,  992,27542,495.03714,    NaN,574.99745,    NaN,    NaN, 0.10575
 495,+1, 1007,27542,495.03770,    NaN,574.78609,    NaN,    NaN, 0.65785
 495,+1, 1023,27542,495.03826,    NaN,574.66545,    NaN,    NaN, 0.04427
 495,+1, 1038,27542,495.03883,    NaN,574.52739,    NaN,    NaN,-0.18078
 495,+1, 1054,27542,495.03939,    NaN,574.39390,    NaN,    NaN, 0.02805
 495,+1, 1069,27542,495.03995,    NaN,574.12118,    NaN,    NaN,-0.01569
 495,+1, 1085,27542,495.04052,    NaN,574.02497,    NaN,    NaN, 0.10854
 495,+1, 1100,27542,495.04108,    NaN,573.99122,    NaN,    NaN, 0.02159
 495,+1, 1116,27542,495.04164,    NaN,573.81496,    NaN,    NaN,-0.02637
 495,+1, 1131,27542,495.04220,    NaN,573.58680,    NaN,    NaN, 0.31154
 495,+1, 1147,27542,495.04277,    NaN,573.53118,    NaN,    NaN, 0.20826
 495,+1, 1162,27542,495.04333,    NaN,573.47825,    NaN,    NaN, 0.11546
 495,+1, 1178,27542,495.04389,    NaN,573.38465,    NaN,    NaN, 0.03333
 495,+1, 1193,27542,495.04445,    NaN,573.27483,    NaN,    NaN,-0.26182
 495,+1, 1209,27542,495.04502,    NaN,573.15882,    NaN,    NaN,-0.14275
 495,+1, 1224,27542,495.04558,    NaN,573.11752,    NaN,    NaN, 0.21802
 495,+1, 1240,27542,495.04614,    NaN,573.04850,    NaN,    NaN,-0.04958
 495,+1, 1255,27542,495.04671,    NaN,572.95943,    NaN,    NaN,-0.18107
 495,+1, 1271,27542,495.04727,    NaN,572.84333,    NaN,    NaN, 0.19962
 495,+1, 1286,27542,495.04783,    NaN,572.78465,    NaN,    NaN, 0.16298
 495,+1, 1302,27542,495.04839,    NaN,572.68931,    NaN,    NaN, 0.21562
 495,+1, 1317,27542,495.04896,    NaN,572.69937,    NaN,    NaN, 0.20570
 495,+1, 1333,27542,495.04952,    NaN,572.63710,    NaN,    NaN,-0.25211
 495,+1, 1348,27542,495.05008,    NaN,572.52882,    NaN,    NaN,-0.53050
 495,+1, 1364,27542,495.05065,    NaN,572.44492,    NaN,    NaN,-0.18192
 495,+1, 1379,27542,495.05121,    NaN,572.42053,    NaN,    NaN, 0.84279
 495,+1, 1395,27542,495.05177,    NaN,572.29398,    NaN,    NaN, 0.99918
 495,+1, 1410,27542,495.05233,    NaN,572.24674,    NaN,    NaN,-0.05365
 495,+1, 1426,27542,495.05290,    NaN,572.15194,    NaN,    NaN,-0.76420
 495,+1, 1441,27542,495.05346,    NaN,572.13344,    NaN,    NaN,-0.34464
 495,+1, 1457,27542,495.05402,    NaN,572.11322,    NaN,    NaN, 0.08632
 495,+1, 1472,27542,495.05458,    NaN,572.02468,    NaN,    NaN,-0.01656
 495,+1, 1488,27542,495.05515,    NaN,571.82534,    NaN,    NaN, 0.29432
 495,+1, 1503,27542,495.05571,    NaN,571.77910,    NaN,    NaN, 0.49998
 495,+1, 1519,27542,495.05627,    NaN,571.76099,    NaN,    NaN, 0.62068
 495,+1, 1534,27542,495.05684,    NaN,571.72390,    NaN,    NaN, 0.36719
 495,+1, 1550,27542,495.05740,    NaN,571.69913,    NaN,    NaN,-0.49930
 495,+1, 1565,27542,495.05796,    NaN,571.65546,    NaN,    NaN,-1.11363
 495,+1, 1581,27542,495.05852,    NaN,571.50103,    NaN,    NaN,-0.29313
 495,+1, 1596,27542,495.05909,    NaN,571.41180,    NaN,    NaN, 0.00027
 495,+1, 1612,27542,495.05965,    NaN,571.32167,    NaN,    NaN,-0.16672
 495,+1, 1627,27542,495.06021,    NaN,571.25492,    NaN,    NaN, 0.39101
 495,+1, 1643,27542,495.06078,    NaN,571.08746,    NaN,    NaN, 0.37968
 495,+1, 1658,27542,495.06134,    NaN,571.08496,    NaN,    NaN, 0.06660
 495,+1, 1674,27542,495.06190,    NaN,570.97398,    NaN,    NaN, 0.24244
 495,+1, 1689,27542,495.06246,    NaN,570.92813,    NaN,    NaN, 0.04553
 495,+1, 1705,27542,495.06303,    NaN,570.87388,    NaN,    NaN,-0.15123
 495,+1, 1720,27542,495.06359,    NaN,570.74124,    NaN,    NaN, 0.05445
 495,+1, 1736,27542,495.06415,    NaN,570.68206,    NaN,    NaN, 0.15154
 495,+1, 1751,27542,495.06471,    NaN,570.64097,    NaN,    NaN,-0.13123
