Brb2Rus012010,Y:\Documents\Engineering\Data\LOR\Brb2Rus012010,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,0,0,0,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
10891,RCL,+38.394636656,-82.567229698,461.877,13946051.340,1191395.637,562.813,6.995,14:36:35 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,12
10892,RCL,+38.394642862,-82.567247687,461.926,13946053.687,1191390.521,562.863,6.995,14:36:36 20 Jan 2010,0,0,0,0.025,0.038,0.003,,,,1,12
10893,RCL,+38.394649000,-82.567265824,461.916,13946056.010,1191385.362,562.853,6.995,14:36:37 20 Jan 2010,0,0,0,0.019,0.028,0.002,,,,1,12
10894,RCL,+38.394655145,-82.567283991,461.934,13946058.335,1191380.195,562.871,6.995,14:36:38 20 Jan 2010,0,0,0,0.020,0.029,0.002,,,,1,12
10895,RCL,+38.394661129,-82.567302385,461.932,13946060.604,1191374.962,562.868,6.995,14:36:38 20 Jan 2010,0,0,0,0.020,0.029,0.002,,,,1,12
10896,RCL,+38.394666493,-82.567319438,461.900,13946062.640,1191370.109,562.837,6.995,14:36:39 20 Jan 2010,0,0,0,0.019,0.028,0.002,,,,1,12
10897,RCL,+38.394672383,-82.567337692,461.879,13946064.873,1191364.915,562.815,6.995,14:36:40 20 Jan 2010,0,0,0,0.020,0.029,0.002,,,,1,12
10898,RCL,+38.394678246,-82.567355958,461.897,13946067.096,1191359.718,562.834,6.995,14:36:41 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,12
10899,RCL,+38.394683592,-82.567373361,461.867,13946069.127,1191354.764,562.804,6.995,14:36:42 20 Jan 2010,0,0,0,0.022,0.032,0.003,,,,1,12
10900,RCL,+38.394689293,-82.567392384,461.902,13946071.295,1191349.349,562.839,6.995,14:36:44 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
10901,RCL,+38.394694414,-82.567409097,461.862,13946073.241,1191344.592,562.799,6.995,14:36:45 20 Jan 2010,0,0,0,0.019,0.028,0.002,,,,1,12
10902,RCL,+38.394699553,-82.567426071,461.882,13946075.195,1191339.760,562.818,6.995,14:36:46 20 Jan 2010,0,0,0,0.022,0.032,0.003,,,,1,12
10903,RCL,+38.394704763,-82.567442858,461.940,13946077.173,1191334.983,562.877,6.995,14:36:46 20 Jan 2010,0,0,0,0.022,0.032,0.003,,,,1,12
10904,RCL,+38.394709975,-82.567459769,461.997,13946079.153,1191330.170,562.933,6.995,14:36:48 20 Jan 2010,0,0,0,0.020,0.029,0.002,,,,1,12
10905,RCL,+38.394715164,-82.567476689,461.931,13946081.125,1191325.354,562.867,6.995,14:36:49 20 Jan 2010,0,0,0,0.022,0.032,0.003,,,,1,12
10906,RCL,+38.394720646,-82.567494741,462.000,13946083.209,1191320.215,562.936,6.995,14:36:50 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,12
10907,RCL,+38.394726063,-82.567512247,462.021,13946085.266,1191315.233,562.957,6.995,14:36:51 20 Jan 2010,0,0,0,0.026,0.037,0.003,,,,1,11
10908,RCL,+38.394731397,-82.567529953,462.049,13946087.294,1191310.193,562.985,6.995,14:36:52 20 Jan 2010,0,0,0,0.019,0.028,0.002,,,,1,11
10909,RCL,+38.394736875,-82.567547778,462.071,13946089.376,1191305.120,563.006,6.995,14:36:54 20 Jan 2010,0,0,0,0.020,0.028,0.002,,,,1,11
10910,RCL,+38.394742387,-82.567565635,462.089,13946091.469,1191300.037,563.025,6.995,14:36:55 20 Jan 2010,0,0,0,0.023,0.032,0.002,,,,1,11
10911,RCL,+38.394747936,-82.567583990,462.114,13946093.579,1191294.813,563.050,6.995,14:36:57 20 Jan 2010,0,0,0,0.026,0.037,0.003,,,,1,11
10912,RCL,+38.394753478,-82.567602143,462.101,13946095.685,1191289.645,563.037,6.995,14:36:58 20 Jan 2010,0,0,0,0.023,0.032,0.002,,,,1,11
10913,RCL,+38.394759157,-82.567620705,462.127,13946097.843,1191284.362,563.063,6.995,14:36:59 20 Jan 2010,0,0,0,0.024,0.034,0.003,,,,1,11
10914,RCL,+38.394764837,-82.567639421,462.172,13946100.002,1191279.035,563.108,6.995,14:37:00 20 Jan 2010,0,0,0,0.020,0.028,0.002,,,,1,11
10915,RCL,+38.394770447,-82.567657667,462.161,13946102.133,1191273.842,563.097,6.995,14:37:01 20 Jan 2010,0,0,0,0.021,0.029,0.002,,,,1,11
10916,RCL,+38.394776173,-82.567676273,462.215,13946104.309,1191268.546,563.150,6.995,14:37:03 20 Jan 2010,0,0,0,0.021,0.029,0.002,,,,1,11
10917,RCL,+38.394781682,-82.567694390,462.202,13946106.403,1191263.389,563.137,6.995,14:37:04 20 Jan 2010,0,0,0,0.026,0.037,0.003,,,,1,11
10918,RCL,+38.394787076,-82.567711788,462.254,13946108.451,1191258.438,563.189,6.995,14:37:06 20 Jan 2010,0,0,0,0.020,0.028,0.002,,,,1,11
10919,RCL,+38.394792191,-82.567728871,462.232,13946110.396,1191253.575,563.167,6.995,14:37:08 20 Jan 2010,0,0,0,0.024,0.036,0.002,,,,1,12
10920,RCL,+38.394797220,-82.567745141,462.299,13946112.306,1191248.944,563.235,6.995,14:37:09 20 Jan 2010,0,0,0,0.019,0.028,0.002,,,,1,12
10921,RCL,+38.394802944,-82.567763840,462.319,13946114.482,1191243.622,563.254,6.995,14:37:10 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
10922,RCL,+38.394808760,-82.567782861,462.305,13946116.692,1191238.208,563.240,6.995,14:37:11 20 Jan 2010,0,0,0,0.025,0.037,0.003,,,,1,12
10923,RCL,+38.394814133,-82.567800539,462.334,13946118.734,1191233.176,563.269,6.995,14:37:12 20 Jan 2010,0,0,0,0.021,0.032,0.003,,,,1,12
10924,RCL,+38.394819393,-82.567817356,462.358,13946120.731,1191228.390,563.293,6.995,14:37:13 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
10925,RCL,+38.394824894,-82.567835472,462.344,13946122.822,1191223.233,563.279,6.995,14:37:13 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
10926,RCL,+38.394829878,-82.567851987,462.321,13946124.717,1191218.533,563.256,6.995,14:37:14 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
10927,RCL,+38.394835145,-82.567869431,462.324,13946126.719,1191213.567,563.259,6.995,14:37:14 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
10928,RCL,+38.394840731,-82.567887593,462.329,13946128.842,1191208.398,563.264,6.995,14:37:15 20 Jan 2010,0,0,0,0.024,0.036,0.003,,,,1,12
