mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 512,+1, 1100, 7021,512.16115,    NaN,565.79206,    NaN,    NaN, 0.12941
 512,+1, 1116, 7021,512.16336,    NaN,565.76695,    NaN,    NaN, 0.30488
 512,+1, 1131, 7021,512.16556,    NaN,565.77187,    NaN,    NaN, 0.07609
 512,+1, 1147, 7021,512.16777,    NaN,565.75173,    NaN,    NaN,-0.01805
 512,+1, 1162, 7021,512.16998,    NaN,565.73307,    NaN,    NaN,-0.15297
 512,+1, 1178, 7021,512.17219,    NaN,565.72836,    NaN,    NaN, 0.01916
 512,+1, 1193, 7021,512.17439,    NaN,565.72765,    NaN,    NaN, 0.01802
 512,+1, 1209, 7021,512.17660,    NaN,565.65582,    NaN,    NaN,-0.03300
 512,+1, 1224, 7021,512.17881,    NaN,565.62225,    NaN,    NaN, 0.17419
 512,+1, 1240, 7021,512.18102,    NaN,565.65270,    NaN,    NaN, 0.14273
 512,+1, 1255, 7021,512.18322,    NaN,565.58106,    NaN,    NaN,-0.09948
 512,+1, 1271, 7021,512.18543,    NaN,565.57792,    NaN,    NaN,-0.19359
 512,+1, 1286, 7021,512.18764,    NaN,565.57088,    NaN,    NaN, 0.13525
 512,+1, 1302, 7021,512.18985,    NaN,565.55502,    NaN,    NaN, 0.26831
 512,+1, 1317, 7021,512.19205,    NaN,565.54131,    NaN,    NaN,-0.22254
 512,+1, 1333, 7021,512.19426,    NaN,565.56321,    NaN,    NaN,-0.20169
 512,+1, 1348, 7021,512.19647,    NaN,565.55947,    NaN,    NaN, 0.18156
 512,+1, 1364, 7021,512.19868,    NaN,565.59542,    NaN,    NaN,-0.09366
 512,+1, 1379, 7021,512.20088,    NaN,565.60963,    NaN,    NaN,-0.23329
 512,+1, 1395, 7021,512.20309,    NaN,565.63658,    NaN,    NaN, 0.31673
 512,+1, 1410, 7021,512.20530,    NaN,565.64025,    NaN,    NaN, 0.26727
 512,+1, 1426, 7021,512.20751,    NaN,565.63496,    NaN,    NaN,-0.03062
 512,+1, 1441, 7021,512.20971,    NaN,565.68718,    NaN,    NaN,-0.09329
 512,+1, 1457, 7021,512.21192,    NaN,565.76183,    NaN,    NaN,-0.16430
 512,+1, 1472, 7021,512.21413,    NaN,565.74404,    NaN,    NaN, 0.06781
 512,+1, 1488, 7021,512.21634,    NaN,565.75359,    NaN,    NaN, 0.11251
 512,+1, 1503, 7021,512.21854,    NaN,565.76858,    NaN,    NaN,-0.01890
 512,+1, 1519, 7021,512.22075,    NaN,565.78500,    NaN,    NaN, 0.02364
 512,+1, 1534, 7021,512.22296,    NaN,565.81381,    NaN,    NaN, 0.14072
 512,+1, 1550, 7021,512.22517,    NaN,565.85239,    NaN,    NaN,-0.15963
 512,+1, 1565, 7021,512.22737,    NaN,565.83679,    NaN,    NaN,-0.16331
 512,+1, 1581, 7021,512.22958,    NaN,565.86337,    NaN,    NaN, 0.14449
 512,+1, 1596, 7021,512.23179,    NaN,565.94257,    NaN,    NaN, 0.07506
 512,+1, 1612, 7021,512.23400,    NaN,565.93313,    NaN,    NaN,-0.12711
 512,+1, 1627, 7021,512.23620,    NaN,565.93408,    NaN,    NaN,-0.38628
 512,+1, 1643, 7021,512.23841,    NaN,565.92476,    NaN,    NaN,-0.00698
 512,+1, 1658, 7021,512.24062,    NaN,565.96532,    NaN,    NaN, 0.48241
 512,+1, 1674, 7021,512.24283,    NaN,565.97085,    NaN,    NaN, 0.22376
 512,+1, 1689, 7021,512.24503,    NaN,565.95889,    NaN,    NaN,-0.10616
 512,+1, 1705, 7021,512.24724,    NaN,566.02301,    NaN,    NaN,-0.31493
 512,+1, 1720, 7021,512.24945,    NaN,566.00227,    NaN,    NaN, 0.09545
 512,+1, 1736, 7021,512.25166,    NaN,566.01692,    NaN,    NaN, 0.34699
 512,+1, 1751, 7021,512.25386,    NaN,566.02703,    NaN,    NaN,-0.02924
 512,+1, 1767, 7021,512.25607,    NaN,566.04790,    NaN,    NaN,-0.21294
 512,+1, 1782, 7021,512.25828,    NaN,566.05288,    NaN,    NaN,-0.21265
 512,+1, 1798, 7021,512.26049,    NaN,566.02347,    NaN,    NaN,-0.27706
 512,+1, 1813, 7021,512.26269,    NaN,566.01946,    NaN,    NaN, 0.35971
 512,+1, 1829, 7021,512.26490,    NaN,565.97236,    NaN,    NaN, 0.55519
 512,+1, 1844, 7021,512.26711,    NaN,566.03083,    NaN,    NaN,-0.10282
 512,+1, 1860, 7021,512.26932,    NaN,566.03474,    NaN,    NaN,-0.15596
 512,+1, 1875, 7021,512.27152,    NaN,566.01125,    NaN,    NaN, 0.13510
 512,+1, 1891, 7021,512.27373,    NaN,566.02465,    NaN,    NaN, 0.01114
 512,+1, 1906, 7021,512.27594,    NaN,566.02845,    NaN,    NaN,-0.10999
 512,+1, 1922, 7021,512.27815,    NaN,566.08252,    NaN,    NaN, 0.19147
 512,+1, 1937, 7021,512.28035,    NaN,566.14038,    NaN,    NaN,-0.01205
 512,+1, 1953, 7021,512.28256,    NaN,566.24459,    NaN,    NaN,-0.12738
 512,+1, 1968, 7021,512.28477,    NaN,566.26010,    NaN,    NaN, 0.24001
 512,+1, 1984, 7021,512.28698,    NaN,566.29329,    NaN,    NaN, 0.03129
 512,+1, 1999, 7021,512.28918,    NaN,566.32774,    NaN,    NaN,-0.21361
 512,+1, 2015, 7021,512.29139,    NaN,566.36065,    NaN,    NaN,-0.12162
 512,+1, 2030, 7021,512.29360,    NaN,566.39126,    NaN,    NaN, 0.12994
 512,+1, 2046, 7021,512.29581,    NaN,566.41237,    NaN,    NaN, 0.14662
 512,+1, 2061, 7021,512.29801,    NaN,566.43676,    NaN,    NaN, 0.19655
 512,+1, 2077, 7021,512.30022,    NaN,566.44259,    NaN,    NaN, 0.00948
 512,+1, 2092, 7021,512.30243,    NaN,566.49341,    NaN,    NaN,-0.11622
 512,+1, 2108, 7021,512.30464,    NaN,566.47511,    NaN,    NaN,-0.19766
 512,+1, 2123, 7021,512.30684,    NaN,566.50738,    NaN,    NaN,-0.27102
 512,+1, 2139, 7021,512.30905,    NaN,566.53817,    NaN,    NaN,-0.09489
 512,+1, 2154, 7021,512.31126,    NaN,566.58797,    NaN,    NaN, 0.14548
 512,+1, 2170, 7021,512.31347,    NaN,566.60643,    NaN,    NaN, 0.31283
 512,+1, 2185, 7021,512.31567,    NaN,566.62198,    NaN,    NaN, 0.13229
 512,+1, 2201, 7021,512.31788,    NaN,566.65651,    NaN,    NaN,-0.12805
 512,+1, 2216, 7021,512.32009,    NaN,566.68930,    NaN,    NaN,-0.18970
 512,+1, 2232, 7021,512.32230,    NaN,566.70426,    NaN,    NaN,-0.38038
 512,+1, 2247, 7021,512.32450,    NaN,566.73942,    NaN,    NaN,-0.06645
 512,+1, 2263, 7021,512.32671,    NaN,566.75837,    NaN,    NaN, 0.05105
 512,+1, 2278, 7021,512.32892,    NaN,566.80030,    NaN,    NaN, 0.01005
 512,+1, 2294, 7021,512.33113,    NaN,566.83488,    NaN,    NaN, 0.05231
 512,+1, 2309, 7021,512.33334,    NaN,566.84109,    NaN,    NaN,-0.07106
 512,+1, 2325, 7021,512.33554,    NaN,566.87700,    NaN,    NaN, 0.03197
 512,+1, 2340, 7021,512.33775,    NaN,566.91180,    NaN,    NaN, 0.25347
 512,+1, 2356, 7021,512.33996,    NaN,566.94270,    NaN,    NaN, 0.21508
 512,+1, 2371, 7021,512.34217,    NaN,566.98267,    NaN,    NaN,-0.27622
 512,+1, 2387, 7021,512.34437,    NaN,567.00831,    NaN,    NaN,-0.14491
 512,+1, 2402, 7021,512.34658,    NaN,567.01412,    NaN,    NaN, 0.24032
 512,+1, 2418, 7021,512.34879,    NaN,567.07290,    NaN,    NaN,-0.11653
 512,+1, 2433, 7021,512.35100,    NaN,567.08550,    NaN,    NaN,-0.07784
 512,+1, 2449, 7021,512.35320,    NaN,567.11896,    NaN,    NaN, 0.29342
 512,+1, 2464, 7021,512.35541,    NaN,567.13052,    NaN,    NaN,-0.08461
 512,+1, 2480, 7021,512.35762,    NaN,567.13907,    NaN,    NaN,-0.28910
 512,+1, 2495, 7021,512.35983,    NaN,567.19303,    NaN,    NaN,-0.11904
 512,+1, 2511, 7021,512.36203,    NaN,567.21553,    NaN,    NaN, 0.18718
 512,+1, 2526, 7021,512.36424,    NaN,567.26631,    NaN,    NaN, 0.35632
 512,+1, 2542, 7021,512.36645,    NaN,567.25297,    NaN,    NaN,-0.07603
 512,+1, 2557, 7021,512.36866,    NaN,567.37003,    NaN,    NaN,-0.02735
 512,+1, 2573, 7021,512.37086,    NaN,567.37977,    NaN,    NaN,-0.05555
 512,+1, 2588, 7021,512.37307,    NaN,567.37819,    NaN,    NaN,-0.03042
 512,+1, 2604, 7021,512.37528,    NaN,567.41656,    NaN,    NaN,-0.10722
 512,+1, 2619, 7021,512.37749,    NaN,567.47825,    NaN,    NaN,-0.11522
 512,+1, 2635, 7021,512.37969,    NaN,567.47910,    NaN,    NaN, 0.21683
 512,+1, 2650, 7021,512.38190,    NaN,567.51206,    NaN,    NaN, 0.07505
 512,+1, 2666, 7021,512.38411,    NaN,567.55662,    NaN,    NaN,-0.23921
 512,+1, 2681, 7021,512.38632,    NaN,567.60217,    NaN,    NaN, 0.16398
 512,+1, 2697, 7021,512.38852,    NaN,567.64573,    NaN,    NaN, 0.12556
 512,+1, 2712, 7021,512.39073,    NaN,567.67303,    NaN,    NaN,-0.00791
 512,+1, 2728, 7021,512.39294,    NaN,567.72853,    NaN,    NaN, 0.02223
 512,+1, 2743, 7021,512.39515,    NaN,567.77300,    NaN,    NaN,-0.05814
 512,+1, 2759, 7021,512.39735,    NaN,567.82989,    NaN,    NaN, 0.01789
 512,+1, 2774, 7021,512.39956,    NaN,567.85540,    NaN,    NaN,-0.01055
 512,+1, 2790, 7021,512.40177,    NaN,567.91055,    NaN,    NaN,-0.03581
 512,+1, 2805, 7021,512.40398,    NaN,567.93091,    NaN,    NaN,-0.21266
 512,+1, 2821, 7021,512.40618,    NaN,567.97634,    NaN,    NaN, 0.01970
 512,+1, 2836, 7021,512.40839,    NaN,567.97956,    NaN,    NaN, 0.25683
 512,+1, 2852, 7021,512.41060,    NaN,567.99328,    NaN,    NaN, 0.10399
 512,+1, 2867, 7021,512.41281,    NaN,567.99441,    NaN,    NaN,-0.36136
 512,+1, 2883, 7021,512.41501,    NaN,568.03059,    NaN,    NaN, 0.10443
 512,+1, 2898, 7021,512.41722,    NaN,568.03258,    NaN,    NaN, 0.26189
 512,+1, 2914, 7021,512.41943,    NaN,568.05300,    NaN,    NaN,-0.05620
 512,+1, 2929, 7021,512.42164,    NaN,568.10503,    NaN,    NaN, 0.14305
 512,+1, 2945, 7021,512.42384,    NaN,568.13347,    NaN,    NaN, 0.20182
 512,+1, 2960, 7021,512.42605,    NaN,568.17785,    NaN,    NaN,-0.31408
 512,+1, 2976, 7021,512.42826,    NaN,568.23050,    NaN,    NaN,-0.25238
 512,+1, 2991, 7021,512.43047,    NaN,568.26130,    NaN,    NaN, 0.30107
 512,+1, 3007, 7021,512.43267,    NaN,568.29951,    NaN,    NaN,-0.30649
 512,+1, 3022, 7021,512.43488,    NaN,568.24488,    NaN,    NaN,-0.44105
 512,+1, 3038, 7021,512.43709,    NaN,568.31369,    NaN,    NaN,-0.03162
 512,+1, 3053, 7021,512.43930,    NaN,568.33983,    NaN,    NaN, 0.08206
 512,+1, 3069, 7021,512.44150,    NaN,568.31216,    NaN,    NaN, 0.14577
 512,+1, 3084, 7021,512.44371,    NaN,568.34558,    NaN,    NaN,-0.04209
 512,+1, 3100, 7021,512.44592,    NaN,568.31974,    NaN,    NaN,-0.02280
 512,+1, 3115, 7021,512.44813,    NaN,568.32110,    NaN,    NaN, 0.04288
 512,+1, 3131, 7021,512.45033,    NaN,568.29702,    NaN,    NaN,-0.30014
 512,+1, 3146, 7021,512.45254,    NaN,568.30765,    NaN,    NaN,-0.01769
 512,+1, 3162, 7021,512.45475,    NaN,568.32204,    NaN,    NaN, 0.26313
 512,+1, 3177, 7021,512.45696,    NaN,568.37095,    NaN,    NaN,-0.29307
 512,+1, 3193, 7021,512.45916,    NaN,568.43874,    NaN,    NaN,-0.23933
 512,+1, 3208, 7021,512.46137,    NaN,568.53995,    NaN,    NaN, 0.11438
 512,+1, 3224, 7021,512.46358,    NaN,568.59701,    NaN,    NaN, 0.21942
 512,+1, 3239, 7021,512.46579,    NaN,568.61553,    NaN,    NaN, 0.24834
 512,+1, 3255, 7021,512.46799,    NaN,568.63031,    NaN,    NaN, 0.18420
 512,+1, 3270, 7021,512.47020,    NaN,568.63071,    NaN,    NaN,-0.33797
 512,+1, 3286, 7021,512.47241,    NaN,568.68798,    NaN,    NaN,-0.33437
 512,+1, 3301, 7021,512.47462,    NaN,568.74283,    NaN,    NaN, 0.29406
 512,+1, 3317, 7021,512.47682,    NaN,568.75674,    NaN,    NaN, 0.07275
 512,+1, 3332, 7021,512.47903,    NaN,568.76784,    NaN,    NaN,-0.31979
 512,+1, 3348, 7021,512.48124,    NaN,568.83711,    NaN,    NaN,-0.03612
 512,+1, 3363, 7021,512.48345,    NaN,568.90190,    NaN,    NaN, 0.17761
 512,+1, 3379, 7021,512.48565,    NaN,568.96876,    NaN,    NaN, 0.03405
 512,+1, 3394, 7021,512.48786,    NaN,569.01249,    NaN,    NaN,-0.14562
 512,+1, 3410, 7021,512.49007,    NaN,569.04792,    NaN,    NaN, 0.02168
 512,+1, 3425, 7021,512.49228,    NaN,569.06207,    NaN,    NaN, 0.11293
 512,+1, 3441, 7021,512.49448,    NaN,569.12769,    NaN,    NaN,-0.20073
 512,+1, 3456, 7021,512.49669,    NaN,569.25238,    NaN,    NaN,-0.12110
 512,+1, 3472, 7021,512.49890,    NaN,569.24967,    NaN,    NaN, 0.43525
 512,+1, 3487, 7021,512.50111,    NaN,569.30435,    NaN,    NaN, 0.23451
 512,+1, 3503, 7021,512.50331,    NaN,569.31550,    NaN,    NaN,-0.19899
 512,+1, 3518, 7021,512.50552,    NaN,569.38996,    NaN,    NaN, 0.06712
 512,+1, 3534, 7021,512.50773,    NaN,569.43498,    NaN,    NaN, 0.14490
 512,+1, 3549, 7021,512.50994,    NaN,569.42923,    NaN,    NaN,-0.16905
 512,+1, 3565, 7021,512.51214,    NaN,569.49118,    NaN,    NaN,-0.12493
 512,+1, 3580, 7021,512.51435,    NaN,569.50899,    NaN,    NaN,-0.37333
 512,+1, 3596, 7021,512.51656,    NaN,569.62164,    NaN,    NaN,-0.13087
 512,+1, 3611, 7021,512.51877,    NaN,569.69671,    NaN,    NaN, 0.27718
 512,+1, 3627, 7021,512.52097,    NaN,569.81209,    NaN,    NaN, 0.33338
 512,+1, 3642, 7021,512.52318,    NaN,569.93323,    NaN,    NaN,-0.03351
 512,+1, 3658, 7021,512.52539,    NaN,569.91143,    NaN,    NaN,-0.11819
 512,+1, 3673, 7021,512.52760,    NaN,569.98133,    NaN,    NaN, 0.69189
 512,+1, 3689, 7021,512.52980,    NaN,569.96685,    NaN,    NaN, 0.08460
 512,+1, 3704, 7021,512.53201,    NaN,570.10488,    NaN,    NaN,-0.02262
 512,+1, 3720, 7021,512.53422,    NaN,570.10195,    NaN,    NaN, 0.13540
 512,+1, 3735, 7021,512.53643,    NaN,570.13547,    NaN,    NaN,-0.53754
 512,+1, 3751, 7021,512.53863,    NaN,570.16835,    NaN,    NaN,-0.25014
 512,+1, 3766, 7021,512.54084,    NaN,570.17636,    NaN,    NaN, 0.22228
 512,+1, 3782, 7021,512.54305,    NaN,570.15646,    NaN,    NaN, 0.59640
 512,+1, 3797, 7021,512.54526,    NaN,570.22015,    NaN,    NaN,-0.02212
 512,+1, 3813, 7021,512.54746,    NaN,570.22724,    NaN,    NaN,-0.43972
 512,+1, 3828, 7021,512.54968,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3844, 7021,512.55185,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3859, 7021,512.55488,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3875, 7021,512.56042,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3890, 7021,512.56546,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3904, 7021,512.56897,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3918, 7021,512.57196,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3932, 7021,512.57519,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3945, 7021,512.58657,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3961, 7021,512.59516,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3976, 7021,512.60375,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 3992, 7021,512.61234,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4007, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4023, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4038, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4054, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4069, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4085, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4100, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4116, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4131, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4147, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4162, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4178, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4193, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4209, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4224, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4240, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4255, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4271, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4286, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4302, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4317, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4333, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4348, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4364, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4379, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4395, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4410, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4426, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4441, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4457, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4472, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4488, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4503, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4519, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4534, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4550, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4565, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4581, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4596, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4612, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4627, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4643, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4658, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4674, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4689, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4705, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4720, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4736, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4751, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4767, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
 512,+1, 4782, 7021,512.62094,    NaN,      NaN,    NaN,    NaN,     NaN
