Htn2PtPl_05nov2009,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PtPl_05nov2009,
UTM,17 North,(WGS 84),Geoid03
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
135_D,LRdot,+38.428937634,-82.376862780,441.608,13957668.595,1246126.017,550.423,7.435,10:25:34 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
136_D,LRdot,+38.428947674,-82.376835304,441.602,13957672.132,1246133.940,550.417,7.435,10:25:34 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
137_D,LRdot,+38.428957900,-82.376807298,441.619,13957675.735,1246142.016,550.434,7.435,10:25:35 5 Nov 2009,,,,0.039,0.061,0.005,,,,1,11
138_D,LRdot,+38.428968298,-82.376778800,441.593,13957679.399,1246150.234,550.408,7.435,10:25:35 5 Nov 2009,,,,0.039,0.061,0.005,,,,1,11
139_D,LRdot,+38.428978870,-82.376749915,441.606,13957683.125,1246158.564,550.422,7.435,10:25:36 5 Nov 2009,,,,0.033,0.053,0.004,,,,1,11
140_D,LRdot,+38.428989605,-82.376720626,441.561,13957686.907,1246167.010,550.377,7.435,10:25:36 5 Nov 2009,,,,0.033,0.053,0.004,,,,1,11
141_D,LRdot,+38.429000410,-82.376691047,441.569,13957690.715,1246175.540,550.385,7.435,10:25:36 5 Nov 2009,,,,0.033,0.053,0.004,,,,1,11
142_D,LRdot,+38.429011243,-82.376661143,441.572,13957694.531,1246184.162,550.388,7.435,10:25:37 5 Nov 2009,,,,0.033,0.052,0.004,,,,1,11
143_D,LRdot,+38.429022224,-82.376630957,441.584,13957698.399,1246192.867,550.400,7.435,10:25:37 5 Nov 2009,,,,0.033,0.052,0.004,,,,1,11
144_D,LRdot,+38.429030476,-82.376608234,441.606,13957701.306,1246199.419,550.422,7.435,10:25:38 5 Nov 2009,,,,0.036,0.057,0.004,,,,1,11
145_D,LRdot,+38.429038811,-82.376585360,441.627,13957704.243,1246206.015,550.443,7.435,10:25:38 5 Nov 2009,,,,0.036,0.057,0.004,,,,1,11
146_D,LRdot,+38.429050000,-82.376554638,441.686,13957708.185,1246214.874,550.502,7.435,10:25:38 5 Nov 2009,,,,0.036,0.057,0.004,,,,1,11
147_D,LRdot,+38.429058463,-82.376531420,441.698,13957711.167,1246221.569,550.514,7.435,10:25:39 5 Nov 2009,,,,0.038,0.061,0.004,,,,1,11
148_D,LRdot,+38.429066912,-82.376508084,441.698,13957714.143,1246228.298,550.514,7.435,10:25:39 5 Nov 2009,,,,0.038,0.061,0.005,,,,1,11
149_D,LRdot,+38.429078338,-82.376476780,441.692,13957718.169,1246237.325,550.509,7.435,10:25:39 5 Nov 2009,,,,0.038,0.061,0.005,,,,1,11
150_D,LRdot,+38.429086957,-82.376453265,441.679,13957721.206,1246244.106,550.495,7.435,10:25:40 5 Nov 2009,,,,0.038,0.055,0.005,,,,1,10
151_D,LRdot,+38.429095505,-82.376429634,441.649,13957724.217,1246250.920,550.466,7.435,10:25:40 5 Nov 2009,,,,0.038,0.055,0.004,,,,1,10
152_D,LRdot,+38.429107018,-82.376398079,441.642,13957728.274,1246260.020,550.458,7.435,10:25:40 5 Nov 2009,,,,0.038,0.055,0.004,,,,1,10
153_D,LRdot,+38.429112800,-82.376382117,441.630,13957730.311,1246264.622,550.447,7.435,10:25:40 5 Nov 2009,,,,0.038,0.055,0.004,,,,1,10
154_D,LRdot,+38.429118558,-82.376366203,441.676,13957732.339,1246269.211,550.493,7.435,10:25:40 5 Nov 2009,,,,0.038,0.055,0.004,,,,1,10
155_D,LRdot,+38.429124430,-82.376350154,441.634,13957734.408,1246273.839,550.451,7.435,10:25:42 5 Nov 2009,,,,0.036,0.052,0.004,,,,1,10
156_D,LRdot,+38.429130217,-82.376334296,441.645,13957736.447,1246278.412,550.462,7.435,10:25:42 5 Nov 2009,,,,0.036,0.052,0.004,,,,1,10
157_D,LRdot,+38.429136051,-82.376318236,441.621,13957738.502,1246283.043,550.438,7.435,10:25:42 5 Nov 2009,,,,0.036,0.052,0.004,,,,1,10
158_D,LRdot,+38.429141893,-82.376302262,441.684,13957740.561,1246287.650,550.501,7.435,10:25:42 5 Nov 2009,,,,0.036,0.052,0.004,,,,1,10
159_D,LRdot,+38.429147760,-82.376286199,441.640,13957742.628,1246292.282,550.457,7.435,10:25:42 5 Nov 2009,,,,0.036,0.052,0.004,,,,1,10
160_D,LRdot,+38.429153563,-82.376270220,441.662,13957744.673,1246296.889,550.479,7.435,10:25:43 5 Nov 2009,,,,0.041,0.059,0.004,,,,1,10
161_D,LRdot,+38.429159349,-82.376254223,441.642,13957746.711,1246301.502,550.459,7.435,10:25:43 5 Nov 2009,,,,0.041,0.059,0.004,,,,1,10
162_D,LRdot,+38.429165214,-82.376238209,441.694,13957748.777,1246306.120,550.511,7.435,10:25:43 5 Nov 2009,,,,0.041,0.059,0.004,,,,1,10
163_D,LRdot,+38.429170978,-82.376222299,441.666,13957750.808,1246310.707,550.483,7.435,10:25:43 5 Nov 2009,,,,0.041,0.059,0.004,,,,1,10
