Feb18a,C&O subdivision
UTM,17 North,(WGS 84),Geoid03

PointID,FeatureCode,Latitude,Longitude,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,DeltaX,DeltaY,DeltaZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
195,LR,+38.43116ø,-82.37074ø,446.020,13958450.927,1247891.791,554.851,7.461,10:01:00 18 Feb 2009,15059.998,4018.925,2236.576,0.043,0.067,0.002,2.062,1.108,1.739,1,6
196,LR,+38.43118ø,-82.37068ø,446.106,13958458.246,1247909.291,554.938,7.461,10:01:01 18 Feb 2009,15076.621,4025.837,2242.567,0.027,0.042,0.004,2.062,1.108,1.739,1,6
197,LR,+38.43120ø,-82.37062ø,446.191,13958464.619,1247924.664,555.023,7.461,10:01:02 18 Feb 2009,15091.230,4031.868,2247.792,0.027,0.042,0.002,2.063,1.108,1.740,1,6
198,LR,+38.43121ø,-82.37058ø,446.314,13958470.091,1247938.058,555.146,7.461,10:01:03 18 Feb 2009,15103.971,4037.034,2252.311,0.039,0.061,0.002,2.063,1.108,1.740,1,6
199,LR,+38.43123ø,-82.37054ø,446.376,13958474.497,1247948.901,555.208,7.461,10:01:04 18 Feb 2009,15114.284,4041.231,2255.929,0.037,0.057,0.004,2.063,1.108,1.740,1,6
200,LR,+38.43123ø,-82.37052ø,446.305,13958477.429,1247956.178,555.137,7.461,10:01:05 18 Feb 2009,15121.196,4044.120,2258.266,0.047,0.074,0.003,2.063,1.108,1.740,1,6
201,LR,+38.43124ø,-82.37049ø,446.365,13958479.860,1247962.257,555.197,7.461,10:01:06 18 Feb 2009,15126.984,4046.429,2260.279,0.032,0.050,0.004,2.064,1.109,1.741,1,6
202,LR,+38.43125ø,-82.37047ø,446.411,13958482.113,1247967.928,555.243,7.461,10:01:07 18 Feb 2009,15132.385,4048.582,2262.138,0.051,0.080,0.003,2.064,1.109,1.741,1,6
203,LR,+38.43125ø,-82.37045ø,446.424,13958484.621,1247974.325,555.256,7.461,10:01:08 18 Feb 2009,15138.476,4051.020,2264.186,0.035,0.055,0.005,2.064,1.109,1.741,1,6
204,LR,+38.43126ø,-82.37042ø,446.550,13958487.740,1247982.561,555.382,7.461,10:01:09 18 Feb 2009,15146.339,4054.008,2266.804,0.022,0.034,0.003,2.064,1.109,1.741,1,6
205,LR,+38.43127ø,-82.37039ø,446.580,13958491.474,1247992.327,555.412,7.461,10:01:10 18 Feb 2009,15155.648,4057.664,2269.862,0.031,0.048,0.002,2.065,1.109,1.742,1,6
206,LR,+38.43129ø,-82.37035ø,446.639,13958495.711,1248003.483,555.471,7.461,10:01:11 18 Feb 2009,15166.287,4061.804,2273.348,0.018,0.028,0.003,2.065,1.109,1.742,1,6
207,LR,+38.43130ø,-82.37031ø,446.661,13958500.333,1248015.736,555.494,7.461,10:01:12 18 Feb 2009,15177.971,4066.365,2277.126,0.022,0.035,0.002,2.065,1.109,1.742,1,6
208,LR,+38.43131ø,-82.37026ø,446.732,13958505.311,1248029.298,555.564,7.461,10:01:13 18 Feb 2009,15190.922,4071.292,2281.227,0.022,0.035,0.002,2.065,1.109,1.742,1,6
209,LR,+38.43133ø,-82.37021ø,446.702,13958510.769,1248044.431,555.534,7.461,10:01:14 18 Feb 2009,15205.370,4076.816,2285.661,0.032,0.050,0.002,2.066,1.109,1.743,1,6
210,LR,+38.43135ø,-82.37015ø,446.717,13958517.209,1248062.862,555.550,7.461,10:01:15 18 Feb 2009,15222.993,4083.376,2290.931,0.019,0.030,0.003,2.066,1.109,1.743,1,6
211,LR,+38.43136ø,-82.37009ø,446.765,13958522.757,1248079.175,555.598,7.461,10:01:16 18 Feb 2009,15238.609,4089.062,2295.498,0.019,0.029,0.002,2.066,1.109,1.743,1,6
212,LR,+38.43138ø,-82.37002ø,446.731,13958529.067,1248098.210,555.565,7.461,10:01:17 18 Feb 2009,15256.837,4095.665,2300.642,0.032,0.050,0.002,2.066,1.109,1.743,1,6
213,LR,+38.43140ø,-82.36995ø,446.768,13958536.180,1248120.253,555.601,7.461,10:01:18 18 Feb 2009,15277.973,4103.134,2306.494,0.027,0.042,0.003,2.067,1.109,1.744,1,6
214,LR,+38.43142ø,-82.36988ø,446.848,13958542.030,1248139.028,555.682,7.461,10:01:19 18 Feb 2009,15296.000,4109.330,2311.345,0.021,0.033,0.002,2.067,1.109,1.744,1,6
215,LR,+38.43144ø,-82.36980ø,446.889,13958549.202,1248162.471,555.722,7.461,10:01:20 18 Feb 2009,15318.516,4117.032,2317.263,0.025,0.039,0.002,2.067,1.109,1.744,1,6
216,LR,+38.43146ø,-82.36973ø,446.889,13958555.017,1248181.975,555.723,7.461,10:01:21 18 Feb 2009,15337.260,4123.372,2322.046,0.021,0.033,0.002,2.067,1.109,1.744,1,6
217,LR,+38.43148ø,-82.36965ø,446.928,13958562.070,1248206.340,555.762,7.461,10:01:22 18 Feb 2009,15360.701,4131.132,2327.880,0.030,0.047,0.002,2.068,1.109,1.745,1,6
218,LR,+38.43149ø,-82.36958ø,446.921,13958567.913,1248226.817,555.755,7.461,10:01:23 18 Feb 2009,15380.406,4137.633,2332.691,0.029,0.046,0.003,2.068,1.109,1.745,1,6
219,LR,+38.43151ø,-82.36949ø,446.940,13958574.461,1248250.146,555.775,7.461,10:01:24 18 Feb 2009,15402.867,4144.952,2338.105,0.024,0.038,0.003,2.068,1.109,1.745,1,6
220,LR,+38.43153ø,-82.36941ø,446.970,13958581.038,1248274.015,555.805,7.461,10:01:25 18 Feb 2009,15425.862,4152.356,2343.555,0.020,0.032,0.002,2.068,1.110,1.745,1,6
221,LR,+38.43155ø,-82.36933ø,446.920,13958587.660,1248298.351,555.755,7.461,10:01:26 18 Feb 2009,15449.306,4159.916,2348.994,0.022,0.035,0.002,2.068,1.110,1.746,1,6
222,LR,+38.43157ø,-82.36924ø,446.861,13958594.254,1248322.974,555.696,7.461,10:01:27 18 Feb 2009,15473.037,4167.509,2354.411,0.022,0.034,0.002,2.069,1.110,1.746,1,6
223,LR,+38.43159ø,-82.36915ø,446.877,13958600.918,1248347.756,555.713,7.461,10:01:28 18 Feb 2009,15496.926,4175.106,2359.930,0.025,0.039,0.002,2.069,1.110,1.746,1,6
224,LR,+38.43161ø,-82.36907ø,446.831,13958607.550,1248372.321,555.667,7.461,10:01:29 18 Feb 2009,15520.596,4182.703,2365.384,0.019,0.030,0.002,2.069,1.110,1.746,1,6
225,LR,+38.43163ø,-82.36898ø,446.805,13958614.159,1248396.933,555.640,7.461,10:01:30 18 Feb 2009,15544.319,4190.277,2370.831,0.023,0.036,0.002,2.069,1.110,1.747,1,6
226,LR,+38.43165ø,-82.36890ø,446.776,13958620.799,1248421.673,555.612,7.461,10:01:31 18 Feb 2009,15568.163,4197.890,2376.304,0.019,0.030,0.002,2.070,1.110,1.747,1,6
227,LR,+38.43167ø,-82.36881ø,446.733,13958627.307,1248445.885,555.569,7.461,10:01:32 18 Feb 2009,15591.496,4205.358,2381.657,0.025,0.039,0.002,2.070,1.110,1.747,1,6
228,LR,+38.43169ø,-82.36872ø,446.683,13958634.217,1248471.615,555.519,7.461,10:01:33 18 Feb 2009,15616.294,4213.293,2387.339,0.021,0.033,0.002,2.070,1.110,1.747,1,6
